Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-553,,5266.00,0.85,0.92,-0.261,4.55,2.880
Kepler-561,,5646.00,0.94,0.96,-0.180,4.48,4.270
Kepler-57,,5145.00,0.73,0.83,-0.342,4.63,0.600
Kepler-589,,5372.00,0.92,0.83,-0.347,4.43,14.000
Kepler-59,,6074.00,0.94,1.04,0.324,4.51,0.260
Kepler-595,,5138.50,0.82,0.93,-0.348,4.46,2.700
Kepler-598,,5245.00,0.90,0.90,-0.258,4.48,12.300
Kepler-605,,5462.00,0.88,0.91,-0.248,4.52,4.470
Kepler-607,,5244.00,0.89,0.81,-0.382,4.45,4.900
Kepler-610,,5943.00,1.13,1.10,-0.110,4.37,3.550
Kepler-619,,5980.00,1.11,1.09,-0.040,4.38,3.470
Kepler-625,,5789.00,0.96,1.04,0.406,4.49,1.510
Kepler-633,,5877.00,1.27,1.00,0.160,4.23,3.520
Kepler-647,,5906.74,1.55,1.07,0.418,4.09,2.750
Kepler-653,,5665.00,1.19,1.02,0.119,4.29,7.760
Kepler-69,G4 V,5638.00,0.93,0.81,-0.097,4.40,9.800
Kepler-712,,5148.00,0.78,0.84,-0.484,4.58,3.310
Kepler-716,,5012.00,0.74,0.83,-0.504,4.62,6.200
Kepler-722,,5863.00,1.05,1.03,-0.039,4.41,4.370
Kepler-730,,5620.00,1.41,1.05,0.236,4.16,9.500
Kepler-732,,3631.00,0.46,0.49,-1.375,4.79,4.470
Kepler-750,,6160.00,1.23,1.15,0.344,4.32,3.090
Kepler-755,,5043.00,0.77,0.82,-0.457,4.58,4.900
Kepler-760,,5322.00,0.85,0.89,-0.280,4.54,4.570
Kepler-769,,6186.00,1.28,1.19,0.179,4.30,2.880
Kepler-783,,5411.49,0.87,0.94,-0.231,4.53,9.700
Kepler-799,,5588.00,1.59,1.03,0.349,4.05,0.500
Kepler-804,,5817.00,1.05,1.01,0.050,4.40,5.250
Kepler-825,,5976.00,1.08,1.03,0.120,4.39,3.550
Kepler-87,,5600.00,1.82,1.10,0.326,3.96,7.500
Kepler-887,,6194.00,1.29,1.19,0.446,4.29,3.090
Kepler-903,,5682.00,0.97,0.98,0.365,4.46,4.790
Kepler-913,,6068.00,1.80,1.29,-0.282,4.04,5.620
Kepler-920,,5403.00,0.85,0.89,-0.183,4.54,4.370
Kepler-93,,5669.00,0.92,0.91,-0.106,4.47,5.050
Kepler-937,,6095.00,1.22,1.15,0.281,4.32,3.240
Kepler-94,M0 V,4781.00,0.76,0.81,-0.597,4.59,1.410
Kepler-953,,5416.00,0.99,0.95,-0.119,4.42,8.710
Kepler-967,,5178.00,0.80,0.84,-0.718,4.56,5.890
Kepler-969,,5214.00,0.82,0.92,-0.389,4.57,1.510
Kepler-97,,5779.00,0.98,0.94,-0.037,4.43,8.420
Kepler-990,,5948.00,1.08,1.05,-0.050,4.39,3.550
LHS 1140,M4.5 V,2988.00,0.21,0.19,-2.488,5.06,5.000
LHS 1678,M2.0 V,3490.00,0.33,0.35,-1.839,4.89,7.000
LP 791-18,M(6.1+/-0.7) V,2960.00,0.17,0.14,-2.697,5.12,0.500
LP 890-9,M6 V,2850.00,0.16,0.12,-2.841,5.13,7.200
LTT 1445 A,M2.5V,3340.00,0.27,0.26,-2.046,4.95,
LTT 3780,M4 V,3331.00,0.37,0.40,-1.777,4.90,
LkCa 15,,4194.00,1.61,,-0.192,3.65,0.001
NN Ser,WD,57000.00,,0.54,,,
NY Vir,,32780.00,0.15,0.46,1.375,5.74,
OGLE-2006-BLG-109L,,,,0.51,,,
OGLE-2012-BLG-0026L,G5 V,,,1.06,,,5.000
OGLE-2014-BLG-1722L,,,,0.40,,,
OGLE-2018-BLG-1011L,,,,0.18,,,
PDS 70,K7,3972.00,1.06,0.76,-0.489,3.68,0.005
Pr0211,,5300.00,0.83,0.94,-0.336,4.51,0.578
TOI-1062,G9 V,5328.00,0.84,0.94,-0.274,4.55,2.500
TOI-1064,,4734.00,0.73,0.75,-0.623,4.60,9.400
TOI-1130,K7,4250.00,0.69,0.68,-0.854,4.60,8.200
TOI-1260,K6 V,4227.00,0.65,0.66,-0.857,4.57,
TOI-1266,M3,3600.00,0.42,0.45,-1.580,4.85,7.900
TOI-1272,,4985.00,0.79,0.85,-0.438,4.55,3.650
TOI-1444,,5430.00,0.91,0.93,-0.162,4.49,
TOI-1670,F7 V,6170.00,1.32,1.21,0.400,4.29,2.530
TOI-216,,5026.00,0.75,0.77,-0.442,4.66,
TOI-2202,K8 V,5144.00,0.79,0.82,-0.401,4.55,7.480
TOI-411,F7/F8V,6040.00,1.16,1.10,0.209,4.26,5.000
TOI-421,G9 V,5325.00,0.87,0.85,-0.268,4.49,9.400
TOI-763,G,5450.00,0.90,0.92,-0.154,4.45,
TOI-776,M1 V,3709.00,0.54,0.54,-1.310,4.73,7.800
TOI-942,K2.5 V,4928.00,1.02,0.79,-0.369,4.31,0.090
TYC 1422-614-1,,4806.00,6.85,1.15,1.350,2.85,5.890
TYC 8998-760-1,K3 IV,4573.00,0.95,1.00,-0.367,4.29,0.017
Teegarden's Star,M7.0 V,2904.00,0.11,0.09,-3.137,5.27,8.000
UZ For,,5286.90,,0.70,,,
WASP-107,K6,4425.00,0.67,0.68,-0.879,4.63,3.400
WASP-126,G2,5800.00,1.27,1.12,0.132,4.28,6.400
WASP-132,K4,4714.00,0.75,0.78,-0.597,4.58,3.200
WASP-148,G,5555.00,0.91,0.95,-0.139,4.50,3.600
WASP-18,F6 IV-V,6400.00,1.23,1.22,0.383,4.37,1.000
WASP-41,,5545.00,0.87,0.93,-0.195,4.53,1.200
WASP-53,,4953.00,0.80,0.84,-0.463,4.55,
WASP-8,G8 V,5690.00,0.99,1.04,-0.058,4.44,4.000
XO-2 S,,5399.00,1.02,0.98,-0.123,4.43,7.100
bet Pic,A5V,7890.00,2.01,1.80,0.958,3.83,0.023
gam Lib,K0 III,4822.00,11.10,1.47,1.850,2.47,2.820
iot Dra,K2 III,4504.00,11.79,1.54,1.722,2.48,2.650
nu Oph,K0 III,4886.00,14.60,2.70,2.039,2.56,0.650
rho CrB,G0 V,5627.00,1.36,0.89,0.232,4.12,11.040
