Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
K2-275,,4841.00,0.69,0.77,-0.593,4.65,
K2-290,,6302.00,1.51,1.19,0.420,4.23,4.000
K2-316,,3436.00,0.38,0.41,-1.830,4.89,
K2-331,,5994.00,1.06,1.10,0.059,4.43,
K2-343,,3804.00,0.46,0.49,-1.439,4.80,
K2-348,,5077.00,0.85,0.83,-0.388,4.50,
K2-35,K4 V,4402.71,0.62,0.70,-0.719,4.70,
K2-350,,5789.00,1.04,0.98,-0.012,4.39,
K2-36,K2 V,4953.00,0.73,0.81,-0.570,4.60,1.400
K2-374,G3,5789.00,0.91,0.73,-0.059,4.39,
K2-38,G2 V,5757.00,1.10,1.07,0.000,4.35,
K2-389,G3,5782.00,1.08,0.80,0.106,4.27,
K2-395,K0,5007.00,0.78,0.95,-0.413,4.63,
K2-396,G9,5236.00,0.92,0.95,-0.230,4.49,
K2-398,G2,5946.00,1.24,0.95,0.260,4.23,
K2-407,G4,5563.00,0.93,0.88,-0.127,4.45,
K2-43,,3840.60,0.54,0.57,-1.212,4.68,
K2-5,K7.5 V,3930.00,0.57,0.61,-1.083,4.71,
K2-59,,5055.00,0.73,0.77,-0.660,4.59,
K2-62,,4880.00,0.73,0.77,-0.781,4.60,
K2-63,,6771.00,1.63,1.40,0.219,4.15,
K2-75,,5995.00,1.56,1.16,0.349,4.12,
K2-8,K3 V,4870.00,0.74,0.78,-0.583,4.52,
K2-83,,3910.00,0.42,0.48,-1.204,4.86,
K2-84,,5652.00,0.93,0.95,-0.423,4.48,
K2-90,,4421.98,0.63,0.70,-0.968,4.79,
KELT-6,F8,6272.00,1.53,1.13,0.555,4.12,4.900
KIC 5437945,,6146.00,1.26,1.17,0.641,4.30,3.160
KIC 9663113,,6117.21,2.22,1.15,0.792,3.81,3.000
KMT-2020-BLG-0414L,,,,0.26,,,
KOI-12,,6466.33,1.40,1.50,0.574,4.31,1.450
KOI-1599,,5833.00,0.97,1.02,0.162,4.47,4.700
KOI-1783,,5922.00,1.14,1.08,0.213,4.30,0.200
KOI-3503,,6001.00,1.25,0.86,0.300,4.54,
KOI-55,B,27730.00,0.20,0.50,1.360,5.52,
KOI-984,,5295.00,0.82,0.93,-0.324,4.54,1.300
Kepler-10,,5706.00,1.09,1.02,0.055,4.37,9.120
Kepler-1001,,5376.00,0.84,0.93,-0.279,4.56,0.600
Kepler-101,G3 IV,5667.00,1.56,1.17,0.420,4.12,5.900
Kepler-1016,,5821.00,1.00,0.99,0.124,4.44,3.890
Kepler-103,,5845.00,1.44,1.09,0.424,4.16,5.700
Kepler-1038,,5159.00,0.82,0.87,-0.362,4.55,14.000
Kepler-1047,,5754.00,1.13,1.08,0.424,4.37,4.470
Kepler-105,,5827.00,0.89,0.96,0.097,4.43,3.170
Kepler-1050,,6010.00,1.13,1.09,0.059,4.37,3.550
Kepler-1065,,5635.00,0.93,0.94,-0.116,4.49,4.470
Kepler-1067,,5594.00,0.93,0.98,-0.147,4.49,0.500
Kepler-108,,5854.00,2.19,1.25,0.707,3.90,3.890
Kepler-1085,,5816.00,1.08,1.05,0.079,4.39,0.300
Kepler-1086,,4350.00,0.66,0.70,-0.860,4.65,2.880
Kepler-109,,5952.00,1.32,1.04,0.347,4.21,5.730
Kepler-1090,,5330.00,1.01,0.87,-0.146,4.37,14.000
Kepler-1093,,6166.00,1.20,1.13,0.460,4.33,2.950
Kepler-110,,5960.00,1.15,1.07,0.276,4.33,4.470
Kepler-111,,5952.00,1.16,1.17,0.195,4.38,2.300
Kepler-112,,5544.00,0.84,0.78,-0.086,4.51,9.400
Kepler-1129,,5831.00,1.00,1.00,-0.027,4.44,4.070
Kepler-113,,4725.00,0.69,0.75,-0.576,4.64,6.890
Kepler-1143,,5053.00,0.77,0.81,-0.623,4.58,4.790
Kepler-115,,5979.00,1.21,1.07,0.220,4.31,5.500
Kepler-1154,,6327.00,1.43,1.26,0.452,4.23,2.290
Kepler-116,,6142.00,1.45,1.21,0.421,4.20,0.340
