Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
11 Com,G8 III,4742.00,19.00,2.70,2.243,2.31,
11 UMi,K4 III,4213.00,29.79,2.78,2.430,1.93,1.560
14 And,K0 III,4813.00,11.00,2.20,1.763,2.63,4.500
16 Cyg B,G3 V,5750.00,1.13,1.08,0.097,4.36,7.400
17 Sco,K3 III,4157.00,25.92,1.22,2.254,1.70,5.130
18 Del,G6 III,4979.00,8.50,2.30,1.602,2.82,1.100
1RXS J160929.1-210524,K7 V,4060.00,1.31,0.85,-0.370,4.00,0.005
24 Boo,G3 IV,4893.00,10.64,0.99,1.774,2.42,6.920
2MASS J04372171+2651014,M V,3100.00,0.84,0.17,-1.164,4.50,2.500
2MASS J01033563-5515561 A,M5.5/M6,,,0.19,,,0.030
2MASS J01225093-2439505,M3.5 V,3530.00,0.37,0.40,-1.720,4.86,0.120
2MASS J02192210-3925225,M6,3064.00,0.28,0.11,-2.230,4.59,0.035
2MASS J04414489+2301513,M8.5,2936.00,0.23,0.02,-2.444,5.01,0.001
2MASS J12073346-3932539,M8,2825.00,0.22,0.02,-2.561,5.03,0.008
2MASS J21402931+1625183 A,M8.5,2300.00,0.12,0.08,-3.480,5.22,
2MASS J22362452+4751425,K7 V,4045.00,0.64,0.60,-1.021,4.62,0.120
30 Ari B,F6 V,6331.00,1.41,1.93,0.381,4.43,0.910
4 UMa,K1 III,4415.00,18.11,1.23,2.062,1.80,4.604
42 Dra,K1.5 III,4200.00,22.03,0.98,2.155,1.71,9.490
51 Eri,F0 IV,7295.00,1.49,1.75,0.850,4.31,0.020
51 Peg,G5V,5758.00,1.18,1.03,0.136,4.31,10.000
6 Lyn,K0 IV,4938.00,5.20,1.44,1.176,3.19,2.353
70 Vir,G5V,5495.00,1.89,1.09,0.451,3.95,7.770
75 Cet,G3 III,4846.00,10.50,2.49,1.730,2.63,
8 UMi,K0,4847.00,10.30,1.44,1.725,2.57,1.700
81 Cet,G5 III,4785.00,11.00,2.40,1.778,2.35,
91 Aqr,K0 III,4665.00,11.00,1.40,1.692,2.52,3.560
AB Aur,,9770.00,2.96,2.40,1.771,3.77,0.003
AB Pic,K2 V,5285.00,1.00,0.90,-0.226,4.53,0.030
BD+03 2562,,4095.00,32.35,1.14,2.700,1.89,5.200
BD+14 4559,K2 V,4864.00,0.86,0.49,-0.320,4.26,
BD+15 2375,G5,4649.00,8.95,1.08,1.570,2.61,7.410
BD+15 2940,K0,4796.00,14.70,1.10,2.010,2.80,7.100
BD+20 274,K5 III,4296.00,17.30,0.80,1.960,1.99,
BD+20 594,G,5766.00,1.08,1.67,-0.056,4.50,3.340
BD+45 564,K1,5004.00,0.81,0.81,-0.399,4.22,
BD+48 738,K0 III,4414.00,11.00,0.74,1.690,2.24,
BD+48 740,K3 III,4534.00,10.33,1.09,1.640,2.48,
BD+49 828,K0,4943.00,7.60,1.52,1.470,2.85,2.340
BD+55 362,K3,5012.00,0.90,0.91,-0.313,4.09,
BD+60 1417,K0,4993.00,0.80,1.00,0.356,4.55,0.100
BD+63 1405,K0,5000.00,0.80,0.82,-0.413,4.20,
BD-00 4475,G0,5040.00,0.84,0.81,-0.350,4.25,
BD-10 3166,K0 V,5393.00,0.91,1.47,-0.191,4.69,1.000
BD-13 2130,G5 IV/V,4545.00,19.17,2.12,2.043,2.20,0.740
BD-17 63,K5 V,4714.00,0.69,0.74,-0.678,4.26,4.300
CD Cet,M5.0 V,3130.00,0.17,0.16,-2.533,4.93,3.000
CFBDSIR J145829+101343,,580.50,,0.02,,4.72,
CFHTWIR-Oph 98 A,M9-L1,2320.00,0.24,0.01,-2.850,3.85,0.003
CHXR 73,M3.5,3099.00,,0.35,,,0.002
CI Tau,K7,3807.00,1.88,0.90,-0.108,,0.003
COCONUTS-2 A,M3 V,3406.00,0.39,0.37,-1.732,4.83,0.475
CT Cha,K5e,4403.00,1.68,,-0.102,3.66,0.002
CoRoT-1,G0 V,5950.00,1.11,0.95,0.298,4.25,1.600
CoRoT-10,K1 V,5075.00,0.79,0.89,-0.726,4.65,3.000
CoRoT-11,F6 V,6440.00,1.37,1.27,0.378,4.22,2.000
CoRoT-12,,5675.00,1.12,1.08,0.070,4.38,6.300
CoRoT-13,G0 V,5945.00,1.01,1.09,0.073,4.46,1.635
CoRoT-14,F9 V,6035.00,1.21,1.13,0.119,4.35,4.200
CoRoT-16,G5 V,5650.00,1.19,1.10,-0.435,4.36,6.730
CoRoT-17,G2 V,5740.00,1.59,1.04,0.134,4.40,10.700
CoRoT-18,G9 V,5440.00,1.00,0.95,-0.170,4.40,0.032
CoRoT-19,F9 V,6090.00,1.65,1.21,0.544,4.07,5.000
CoRoT-2,,5625.00,0.91,0.96,-0.131,4.53,2.700
CoRoT-21,F8 IV,6200.00,1.95,1.29,0.705,3.70,4.100
CoRoT-22,G3 V,5939.00,1.14,1.10,0.014,4.36,3.300
CoRoT-23,G0 V,5900.00,1.61,1.14,0.087,4.30,7.200
CoRoT-25,F9,6040.00,1.19,1.09,0.141,4.31,4.500
CoRoT-26,G5,5590.00,1.79,1.09,0.451,3.99,8.600
CoRoT-27,G2,5900.00,1.08,1.05,-0.166,4.40,4.210
CoRoT-28,G8/9 IV,5150.00,1.78,1.01,0.388,3.60,12.000
CoRoT-29,K0 V,5260.00,0.90,0.97,-0.094,4.30,4.500
CoRoT-3,F3 V,6740.00,1.56,1.37,0.391,4.22,2.200
CoRoT-30,G3 V,5650.00,0.91,0.98,-0.197,4.40,3.000
CoRoT-31,G2 IV,5700.00,2.15,1.25,0.398,3.85,4.700
CoRoT-35,F6 V,6390.00,1.65,1.01,0.362,4.01,6.100
CoRoT-36,F3 V,6730.00,1.52,1.32,0.813,4.16,2.100
CoRoT-4,,6190.00,1.17,1.16,0.185,4.41,1.000
CoRoT-5,F9 V,6100.00,1.19,1.00,0.180,4.19,6.900
CoRoT-6,F9 V,6090.00,1.03,1.05,0.026,4.43,2.500
CoRoT-8,K1 V,5080.00,0.77,0.88,-0.400,4.58,3.000
CoRoT-9,G3 V,5625.00,0.96,0.96,-0.254,4.54,6.000
CoRoTID 223977153,G0 VI,5970.00,0.79,1.08,-0.155,4.67,
DE CVn,,3579.00,0.42,0.51,-1.574,4.80,
DENIS-P J082303.1-491201,L1.5,,,0.07,,,1.000
DH Tau,M0.5,4371.00,0.27,0.33,-0.212,4.00,0.001
DMPP-2,F5 V,6500.00,1.78,1.44,0.104,4.10,2.000
DMPP-3 A,K0 V,5138.00,0.91,0.87,-0.293,4.30,10.900
DP Leo,,13500.00,0.01,0.69,-2.400,,
DS Tuc A,G6 V,5428.00,0.96,1.01,-0.140,4.60,0.045
EPIC 201170410,,3648.00,0.28,0.29,-1.900,5.00,
EPIC 201238110,,3587.00,0.37,0.41,-1.508,4.78,
EPIC 201427007,,5633.00,0.94,0.93,-0.049,4.40,
EPIC 201497682,,4991.00,0.55,0.78,-0.766,4.63,
EPIC 201595106,,5820.00,0.93,1.02,-0.026,4.60,
EPIC 201757695,,4520.00,0.66,0.73,-0.364,4.66,
EPIC 201841433,,5053.00,0.63,0.80,-0.635,4.59,
EPIC 206032309,,3489.00,0.37,0.22,-1.730,4.85,
EPIC 206215704,,3297.00,0.25,0.41,-2.088,4.90,
EPIC 211822797,M0,4057.00,0.58,0.62,-1.153,4.70,0.790
EPIC 211945201,G0,6069.00,1.39,1.17,0.373,4.22,3.990
EPIC 212424622,,5782.33,1.22,1.11,0.179,4.30,
EPIC 212499991,,4982.79,0.76,0.91,-0.497,4.61,
EPIC 220492298,,5620.00,0.89,0.95,-0.009,4.50,
EPIC 228836835,,3782.00,0.32,0.42,-1.612,5.00,
EPIC 246851721,F5 V,6202.00,1.59,1.32,0.526,4.16,3.020
EPIC 248847494,,4898.00,2.70,0.90,0.548,3.52,
FU Tau,M7.25,2838.00,,0.05,-0.699,,0.001
G 9-40,M2.5 V,3348.00,0.31,0.29,-1.971,4.93,9.900
GJ 1214,M4 V,3250.00,0.21,0.18,-2.337,5.03,3.000
GJ 1252,M3,3458.00,0.39,0.38,-1.708,4.89,3.900
GJ 1265,M4.5 V,3236.00,0.19,0.18,-2.439,5.09,
GJ 160.2,M0 V,4347.00,0.66,0.69,-0.796,4.61,
GJ 179,M3.5 V,3370.00,0.38,0.36,-1.796,4.83,
GJ 2056,M0V:,4069.95,0.71,0.62,-0.905,4.48,
GJ 251,M3.0 V,3451.00,0.36,0.36,-1.772,4.96,
GJ 27.1,M0.5 V,3542.00,0.52,0.53,-1.585,4.72,
GJ 3021,G6 V,5540.00,0.90,0.90,-0.180,4.70,0.370
GJ 3082,M4,3910.00,0.47,0.47,-1.463,4.77,
GJ 3090,M2 V,3556.00,0.52,0.52,-1.342,4.73,
GJ 3222,K0V,5257.46,0.93,0.89,-0.252,4.43,
GJ 328,M1,3900.00,0.65,0.69,-0.993,4.61,
GJ 3341,M2.5,3526.00,0.44,0.47,-1.538,4.77,
GJ 338 B,M0.0 V,4005.00,0.58,0.64,-1.101,4.68,4.000
GJ 3470,M1.5,3600.00,0.55,0.54,-1.538,4.70,1.650
GJ 3634,M2.5,3517.00,0.43,0.45,-1.699,4.78,5.000
