Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
GJ 367,M1.0 V,3522.00,0.46,0.45,-1.541,4.78,
GJ 3779,M4.0 V,3324.00,0.28,0.27,-2.062,5.05,
GJ 393,M2.0 V,3579.00,0.43,0.43,-1.571,4.88,
GJ 3942,M0,3867.00,0.61,0.63,-1.120,4.65,
GJ 422,M3.5 V,3323.00,0.37,0.35,-1.959,4.85,
GJ 4276,M4.0,3387.00,0.41,0.41,-1.706,4.97,6.900
GJ 436,M2.5 V,3586.11,0.46,0.47,-1.585,4.79,6.000
GJ 480,M3.5 Ve,3381.00,0.46,0.45,-1.612,4.78,
GJ 486,M3.5 V,3340.00,0.33,0.32,-1.917,4.89,
GJ 504,G0 V,6234.00,1.26,1.22,0.332,4.60,0.160
GJ 514,M0.5-1.0 V,3728.00,0.50,0.51,-1.367,4.76,0.800
GJ 536,M1 V,3685.00,0.50,0.52,-1.377,4.75,0.400
GJ 625,M2,3499.00,0.31,0.30,-1.894,4.94,
GJ 649,M1.5,3700.00,0.50,0.54,-1.365,4.76,0.440
GJ 674,M2.5,3600.00,0.36,0.35,-1.796,4.86,0.550
GJ 680,K5,3563.00,0.46,0.46,-1.514,4.77,
GJ 685,M0.5,3816.00,0.54,0.55,-1.253,4.72,
GJ 720 A,M0.5 V,3837.00,0.56,0.57,-1.217,4.71,
GJ 740,M1.0 V,3913.00,0.56,0.58,-1.206,4.68,
GJ 832,M1.5,3472.00,0.44,0.45,-1.585,4.70,9.240
GJ 86,K1V,5182.00,0.77,0.93,-0.390,4.63,11.300
GJ 896 A,M3.5 V,3345.00,0.39,0.44,-1.755,4.83,
GJ 9066,M5.0 V,3154.00,0.16,0.15,-2.595,5.01,
GJ 96,M2,3785.00,0.58,0.60,-1.052,4.67,
GJ 9689,M0.5,3836.00,0.57,0.59,-1.200,4.69,8.900
GJ 9714,K5V,4263.00,0.66,0.67,-0.884,4.62,
GPX-1,F2,7000.00,1.56,1.68,0.727,4.27,0.270
GQ Lup,K7e V,4360.00,1.94,0.70,-0.072,3.65,0.001
GSC 06214-00210,K7,4200.00,0.90,0.90,-0.420,4.37,0.005
GU Psc,M3,4031.81,0.45,0.33,-1.602,4.78,0.100
Gaia-1,,5470.00,0.95,0.95,-0.159,4.44,
Gaia-2,,5720.00,1.06,1.00,0.057,4.37,
Gl 378,M1,3879.00,0.56,0.56,-1.222,4.69,
Gl 49,M1.5 V,3805.00,0.51,0.52,-1.306,4.69,
Gl 686,M1.0 V,3656.00,0.43,0.43,-1.530,4.87,
HAT-P-1,G0 V,5980.00,1.17,1.15,0.225,4.36,3.600
HAT-P-12,K4,4650.00,0.70,0.73,-0.678,4.61,2.500
HAT-P-14,F5 V,6600.00,1.82,2.65,0.644,4.25,1.600
HAT-P-15,G5,5568.00,1.07,1.00,0.000,4.38,6.800
HAT-P-16,F8,6158.00,1.24,1.22,0.294,4.34,2.000
HAT-P-18,K2,4803.00,0.75,0.77,-0.569,4.57,12.400
HAT-P-19,K1,4990.00,0.82,0.84,-0.432,4.54,8.800
HAT-P-2,F8,6380.00,1.39,1.33,0.530,4.16,1.440
HAT-P-20,K3,4595.00,0.69,0.76,-0.721,4.63,6.700
HAT-P-21,G3,5588.00,1.21,1.24,0.025,4.33,10.200
HAT-P-22,G5 V,5302.00,1.11,1.13,-0.114,4.36,12.400
HAT-P-23,G0,5905.00,0.96,0.58,0.199,4.33,4.000
HAT-P-24,F8,6373.00,1.38,1.37,0.408,4.27,2.800
HAT-P-25,G5,5519.00,0.92,1.01,-0.152,4.52,3.200
HAT-P-26,K1,5079.00,0.87,1.12,-0.359,4.56,9.000
HAT-P-27,G8,5316.00,0.86,0.92,-0.269,4.53,4.400
HAT-P-28,G3,5680.00,1.10,1.03,0.053,4.36,6.100
HAT-P-29,F8,6087.00,1.30,1.45,0.272,4.34,2.200
HAT-P-3,K,5185.00,0.87,1.06,-0.360,4.56,1.600
HAT-P-30,F7,6304.00,1.31,1.55,0.312,4.36,1.000
HAT-P-31,,6065.00,1.39,1.31,0.433,4.26,3.170
HAT-P-32,,6001.00,1.37,1.13,0.338,4.22,2.700
HAT-P-33,F4,6446.00,1.79,1.82,0.618,4.15,2.300
HAT-P-34,,6442.00,1.53,1.39,0.600,4.21,1.700
HAT-P-35,,6096.00,1.44,1.24,0.383,4.21,3.500
HAT-P-36,G5 V,5620.00,1.04,1.03,0.022,4.42,6.600
HAT-P-37,,5500.00,0.88,0.93,-0.208,4.51,3.600
HAT-P-38,G5,5330.00,0.92,0.89,-0.208,4.37,10.100
HAT-P-39,,6430.00,1.62,1.40,0.607,4.07,2.000
HAT-P-4,F,5860.00,1.62,0.56,0.431,4.14,3.900
HAT-P-40,,6080.00,1.94,1.03,0.778,3.93,2.700
HAT-P-41,,6390.00,2.05,2.56,0.628,4.14,2.200
HAT-P-42,,5743.00,1.53,1.18,0.356,4.14,5.200
HAT-P-43,F9,5693.00,1.08,1.03,0.060,4.38,5.700
HAT-P-45,,6330.00,1.32,1.26,0.400,4.30,2.000
HAT-P-46,,6120.00,1.40,1.28,0.391,4.25,2.500
HAT-P-49,F,6820.00,2.06,2.22,0.814,4.10,1.500
HAT-P-5,G,5960.00,1.12,1.04,0.187,4.37,2.600
HAT-P-50,F5,6280.00,1.70,1.27,0.603,4.07,3.370
HAT-P-51,G7,5449.00,1.04,0.98,-0.066,4.39,8.200
HAT-P-52,K1,5131.00,0.89,0.89,-0.305,4.48,9.400
HAT-P-53,,5956.00,1.21,1.09,0.217,4.31,4.670
HAT-P-54,K7,4390.00,0.62,0.65,-0.902,4.67,3.900
HAT-P-55,,5808.00,1.01,1.01,0.064,4.43,4.200
HAT-P-56,F8,6566.00,1.47,1.42,0.553,3.39,2.010
HAT-P-57,A8 V,6330.00,1.85,2.77,0.806,4.25,1.000
HAT-P-58,,6078.00,1.53,1.03,0.456,4.08,7.110
HAT-P-59,,5678.00,1.10,1.01,0.054,4.36,7.300
HAT-P-6,,6570.00,1.62,1.79,0.553,4.22,2.300
HAT-P-60,,6212.00,2.20,1.44,0.809,3.91,2.765
HAT-P-61,,5587.00,0.94,1.00,-0.115,4.50,2.600
HAT-P-62,,5629.00,1.17,1.02,0.091,4.31,8.100
HAT-P-63,,5400.00,0.97,0.93,-0.146,4.43,9.000
HAT-P-64,,6457.00,1.74,1.30,0.668,4.07,2.880
HAT-P-65,G2,5835.00,1.86,1.21,0.555,3.98,5.460
HAT-P-66,G0,6002.00,1.88,1.26,0.615,3.99,4.660
HAT-P-67,,6406.00,2.55,1.64,0.939,3.85,1.240
HAT-P-68,K,4508.00,0.67,0.68,-0.779,4.62,11.100
HAT-P-69,,7394.00,1.93,1.65,1.000,4.11,1.270
HAT-P-7,,6389.00,2.00,1.56,0.814,4.07,2.070
HAT-P-70,,8450.00,1.86,1.89,1.223,4.18,0.600
HAT-P-8,F6,6200.00,1.57,1.27,0.519,4.15,3.400
HAT-P-9,F7,6350.00,1.34,1.28,0.418,4.29,1.600
HATS-1,,5870.00,1.04,0.99,0.041,4.40,6.000
HATS-10,,5880.00,1.10,1.10,0.117,4.39,3.300
HATS-11,G0,6563.00,1.54,1.33,0.403,4.19,7.700
HATS-12,F,6357.00,1.17,1.16,0.863,4.36,2.360
HATS-13,,5523.00,0.89,0.96,-0.321,4.52,2.500
HATS-14,,5346.00,0.93,0.97,-0.173,4.48,4.900
HATS-15,G9 V,5311.00,0.92,0.87,-0.204,4.45,11.000
HATS-16,G3 V,5738.00,1.24,0.97,0.173,4.24,9.500
HATS-17,G V,5846.00,1.09,1.13,0.093,4.42,2.100
HATS-18,G V,5600.00,1.02,1.04,-0.032,4.44,4.200
HATS-2,K,5227.00,0.90,0.88,-0.268,4.48,9.700
HATS-22,K V,4803.00,0.69,0.76,-0.646,4.64,
HATS-23,G V,5780.00,1.20,1.12,0.155,4.33,4.200
HATS-24,F V,6125.00,1.12,1.07,0.190,4.37,3.700
HATS-25,G,5715.00,1.11,0.99,0.068,4.35,7.500
HATS-26,F,6071.00,2.04,1.30,0.704,3.94,4.040
HATS-27,F,6438.00,1.74,1.42,0.669,4.11,2.300
HATS-28,G,5498.00,0.92,0.93,-0.157,4.48,6.200
HATS-29,G,5670.00,1.07,1.03,0.029,4.39,5.500
HATS-3,F,6351.00,1.40,1.21,0.456,4.22,3.200
HATS-30,G,5943.00,1.06,1.09,0.097,4.42,2.300
HATS-31,,6050.00,1.87,1.27,0.619,4.00,4.300
HATS-32,,5700.00,1.10,1.10,0.057,4.40,3.500
HATS-33,,5659.00,1.02,1.06,-0.018,4.45,3.000
HATS-34,,5380.00,0.98,0.96,-0.140,4.44,7.700
HATS-35,,6300.00,1.43,1.32,0.465,4.24,2.130
HATS-36,G0 V,5950.00,1.10,1.10,0.215,4.40,0.620
HATS-37 A,,5326.00,0.88,0.84,-0.256,4.48,11.460
HATS-38,,5732.00,1.10,0.89,0.072,4.30,11.890
HATS-39,,6572.00,1.62,1.38,0.640,4.16,2.060
HATS-4,G,5403.00,0.93,1.00,-0.187,4.51,2.100
HATS-40,,6460.00,2.26,1.56,0.903,3.92,2.070
HATS-41,,6424.00,1.71,1.50,0.653,4.14,1.340
HATS-42,,6060.00,1.48,1.27,0.425,4.20,3.260
HATS-43,,5099.00,0.81,0.84,-0.398,4.54,8.600
HATS-44,,5080.00,0.85,0.86,-0.398,4.51,9.700
HATS-45,,6450.00,1.32,1.27,0.425,4.31,1.520
HATS-46,,5495.00,0.85,0.92,-0.230,4.54,3.000
HATS-47,,4512.00,0.66,0.67,-0.796,4.63,8.100
HATS-48 A,,4546.00,0.72,0.73,-0.709,4.59,11.970
HATS-49,,4405.00,0.70,0.71,-0.785,4.60,10.500
HATS-5,G,5304.00,0.87,0.94,-0.268,4.53,3.600
HATS-50,,5990.00,1.12,1.17,0.143,4.41,1.200
HATS-51,,5758.00,1.44,1.19,0.310,4.20,4.740
HATS-52,,6010.00,1.05,1.11,0.068,4.45,1.200
HATS-53,,5644.00,1.10,0.96,0.045,4.34,9.000
HATS-54,,5702.00,1.32,1.10,0.212,4.24,6.600
HATS-55,,6214.00,1.13,1.20,0.229,4.41,0.400
HATS-56,,6536.00,2.20,1.57,0.898,3.95,1.894
HATS-57,,5587.00,0.96,1.03,-0.094,4.48,2.500
HATS-58 A,,7175.00,1.43,1.46,0.689,4.29,0.310
HATS-6,M1 V,3724.00,0.57,0.57,-1.100,4.68,8.100
HATS-60,,5688.00,1.46,1.10,0.300,4.15,7.550
HATS-61,,5542.00,1.66,1.08,0.369,4.03,8.900
HATS-62,,5416.00,0.93,0.90,-0.173,4.45,9.550
HATS-63,,5627.00,1.07,0.93,0.012,4.35,10.300
HATS-64,,6554.00,2.11,1.56,0.867,3.98,1.861
HATS-65,,6277.00,1.31,1.26,0.377,4.30,1.780
HATS-66,,6626.00,1.84,1.41,0.767,4.06,2.170
HATS-67,,6594.00,1.44,1.44,0.547,4.28,0.510
HATS-68,,6147.00,1.75,1.35,0.592,4.08,3.020
HATS-69,,5137.00,0.88,0.89,-0.318,4.50,8.000
HATS-7,K2,4985.00,0.82,0.85,-0.434,4.54,7.800
HATS-70,,7930.00,1.88,1.78,1.079,4.17,0.810
HATS-71,M3 V,3405.00,0.48,0.49,-1.560,4.77,3.200
HATS-72,,4656.10,0.72,0.73,-0.659,4.59,12.170
HATS-74 A,,3776.90,0.58,0.60,-1.216,4.70,11.000
HATS-75,,3790.40,0.58,0.60,-1.197,4.68,14.900
HATS-76,,4016.00,0.63,0.66,-1.038,4.67,4.600
HATS-77,,4071.00,0.64,0.66,-0.992,4.64,12.100
HATS-8,,5679.00,1.09,1.06,-0.025,4.39,5.100
HATS-9,,5599.00,1.56,1.10,0.312,4.10,10.800
HD 100546,B9 Vne,10500.00,1.85,2.40,1.500,4.33,0.005
HD 100655,G9 III,4891.00,10.06,2.28,1.633,2.79,1.309
HD 100777,G8 V,5533.00,1.04,0.83,0.021,4.32,2.000
HD 101930,K1 V,5108.00,0.86,0.57,-0.310,4.33,1.000
HD 102117,G6 V,5655.00,1.23,1.06,0.157,4.29,10.000
HD 102195,K0 V,5301.00,0.82,0.76,-0.334,4.49,2.400
HD 102272,K0,4790.00,10.30,1.45,1.662,2.58,
HD 102365,G3/5V,5630.00,0.95,0.85,-0.057,4.57,9.000
HD 102843,K0 V,5436.00,0.96,0.95,-0.138,4.46,
HD 102956,G5,4985.00,4.55,1.66,1.064,3.38,2.300
HD 103197,K1 V(P),5250.00,0.88,0.80,-0.328,4.45,9.100
HD 103720,K3 V,5017.00,0.73,0.79,-0.458,4.43,3.800
HD 103774,F5 V,6489.00,1.58,1.33,0.544,4.26,1.050
HD 103891,F9,6072.00,2.22,1.28,0.786,3.79,3.680
HD 103949,K3 V,4792.00,0.75,0.77,-0.569,4.59,
HD 104067,K2 V,4937.00,0.74,0.62,-0.513,4.49,4.330
HD 10442,K0 IV,4912.00,1.97,1.01,0.310,3.19,10.650
HD 104985,G9 III,4877.00,11.00,2.30,1.778,2.85,
HD 105779,G2,5792.00,0.94,0.89,-0.108,4.36,7.540
HD 106252,G0,5874.00,1.10,1.01,0.123,4.36,4.190
HD 106270,G5 IV,5509.00,2.66,1.39,0.756,3.72,4.300
HD 10647,F9 V,6218.00,1.10,1.11,0.149,4.62,1.400
HD 106515 A,G5 V,5362.00,0.91,0.93,-0.164,4.41,11.700
HD 106906,F5 V,6516.00,2.12,1.50,0.750,3.90,0.013
HD 10697,G5 IV,5680.00,1.86,0.99,0.477,3.96,6.980
HD 108147,F8 V CH+0.4,6255.73,1.21,1.22,0.303,4.36,3.200
HD 108341,K2 V,5122.00,0.79,0.84,-0.370,4.45,4.900
HD 108863,K0,4878.00,5.74,1.59,1.225,3.07,1.800
HD 109246,G0 V,5844.00,1.07,1.20,0.100,4.46,
HD 109286,G4 V,5694.00,1.09,0.98,-0.084,4.44,
HD 109749,G3 V,5824.00,1.22,1.13,0.190,4.31,3.300
HD 10975,K0 III,4840.00,11.16,1.41,1.790,2.48,
HD 109988,,5185.97,0.87,0.88,-0.307,4.50,
HD 110014,K2 III,4445.00,20.90,2.17,2.304,2.10,0.950
HD 110082,F8 V,6200.00,1.19,1.21,0.281,4.20,0.250
HD 110537,G6/8 V,5718.00,1.17,1.02,0.117,4.31,
HD 11112,,5905.64,1.47,1.07,0.377,4.13,
HD 111591,K0 III,4884.00,8.03,1.94,1.581,3.10,1.410
HD 111998,F5 V,6557.00,1.45,1.18,0.512,4.19,1.900
HD 112640,K0 III,4155.00,39.00,1.80,2.453,1.70,1.600
HD 113996,K5 III,4181.00,25.11,1.49,2.464,1.86,3.240
HD 114386,K3V,4836.00,0.76,0.60,-0.540,4.45,1.000
HD 114613,G4 IV,5641.00,2.14,1.27,0.608,3.87,4.550
HD 114729,G0 V,5844.00,1.47,0.94,0.421,4.05,10.116
HD 11505,,5757.15,1.20,1.03,0.151,4.30,
HD 115954,G0 V,5957.00,1.21,1.18,0.481,4.15,
HD 117207,G8 IV/V,5732.00,1.07,1.05,0.066,4.37,4.192
HD 11755,G5,4312.00,20.58,0.72,2.169,1.67,10.200
HD 117618,G2 V,5990.00,1.20,1.08,0.213,4.41,5.600
HD 118203,K0,5864.00,2.06,1.84,0.646,4.08,4.600
HD 11977,G8 III/IV,4970.00,10.09,1.91,1.839,2.90,1.200
HD 120084,G7 III,4892.00,9.12,2.50,1.640,2.71,1.020
HD 121504,G2 V,6027.00,1.07,1.62,0.190,4.59,1.200
HD 122562,,4956.00,2.17,1.24,0.407,,
HD 124330,G4 IV,5873.00,1.30,1.15,0.338,4.24,
HD 12484,F8,5920.00,1.00,1.01,0.022,4.65,
HD 125271,,4703.93,0.75,0.75,-0.604,4.56,
HD 125390,G7 V,4850.00,6.47,1.82,1.124,3.13,
HD 125595,K4 V,4691.00,0.74,0.29,-0.617,4.17,3.530
HD 12648,G5,4835.00,11.02,0.67,1.753,2.18,4.500
HD 126525,G4 V,5638.00,0.98,0.90,-0.040,4.38,9.670
HD 126614,G8 IV,5568.00,1.37,0.96,0.083,4.17,7.200
HD 127506,K3V,4595.32,0.74,0.73,-0.663,4.57,
HD 128356,K3 V,4875.00,0.85,0.65,-0.444,4.52,10.000
HD 129445,G6 V,5605.00,1.18,0.99,0.090,4.31,
HD 130322,K0 V,5387.00,0.85,0.92,-0.235,4.52,0.350
HD 131496,K0,4846.00,4.44,1.34,0.991,3.18,2.700
HD 13167,G3 V,5671.00,2.39,1.35,0.960,3.72,
HD 13189,K2,4175.00,38.41,2.24,2.636,1.62,
HD 132406,G0,5783.00,1.34,1.03,0.260,4.20,7.187
HD 132563,F8,6289.00,1.30,1.23,0.374,4.30,2.310
HD 133131 B,G2 V,5805.00,0.99,0.93,-0.009,4.41,9.700
HD 135872,,4992.00,3.93,1.65,0.937,,
HD 136118,,6182.43,1.68,1.18,0.569,4.06,
HD 136418,G5,4989.00,3.78,1.48,0.833,3.45,4.000
HD 136925,,5773.19,1.19,0.88,0.134,4.23,
HD 13724,,5835.31,1.04,1.00,0.055,4.42,
HD 137388,K2 IV,5181.00,0.88,0.68,-0.337,4.39,6.450
HD 13931,G0,5867.00,1.25,1.30,0.196,4.36,8.400
HD 139357,K0,4700.00,11.47,2.69,1.823,2.90,3.070
HD 1397,G5 III/IV,5521.00,2.34,1.32,0.660,3.82,4.510
HD 14067,G9 III,4815.00,12.40,2.58,1.898,2.61,0.690
HD 141004,G0Vvar,5885.38,1.39,1.05,0.346,4.17,6.320
HD 141937,G2/G3 V,5870.00,1.03,1.09,0.022,4.45,2.320
HD 142022 A,K0,5421.00,1.04,0.90,0.004,4.35,7.000
HD 142245,K0,4922.00,4.63,3.50,1.130,3.65,2.300
HD 142415,G1 V,5940.00,1.04,1.07,0.060,4.44,1.100
HD 143105,F5,6380.00,1.65,1.51,0.556,4.37,
HD 143361,G6 V,5507.00,0.92,0.97,-0.092,4.47,2.942
HD 144899,,6126.00,1.65,1.16,0.537,4.07,
HD 145377,G3 V,6014.00,1.05,1.20,0.193,4.47,1.300
HD 145457,K0,4769.00,10.52,1.23,1.655,2.48,2.605
HD 145934,K0,4823.75,6.93,2.06,1.355,3.01,1.560
HD 147379,M1,4156.00,0.63,0.60,-0.971,4.65,
HD 147513,G3/5V,5883.00,0.98,1.11,-0.010,4.51,0.300
