Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
11 Com b,Radial Velocity,2007,0,326.03,12.1,6165.6,1.29,0.231,,
11 UMi b,Radial Velocity,2009,0,516.21997,12.3,4684.8142,1.53,0.08,,
14 And b,Radial Velocity,2008,0,185.84,12.9,1525.5,0.83,0,,
16 Cyg B b,Radial Velocity,1996,0,798.5,13.5,565.7374,1.66,0.68,,
17 Sco b,Radial Velocity,2020,0,578.38,12.9,1373.01872,1.45,0.06,,
18 Del b,Radial Velocity,2008,0,993.3,12.5,3273.5,2.6,0.08,,
1RXS J160929.1-210524 b,Imaging,2008,0,,18.647,3000,330,,1700,
24 Boo b,Radial Velocity,2018,0,30.3506,13.9,289.2253,0.19,0.042,,
2M0437 b,Imaging,2021,0,,13,1271.31363,118,,1450,
2MASS J01033563-5515561 AB b,Imaging,2013,0,,12.3,4131.79,84,,,
2MASS J01225093-2439505 b,Imaging,2013,0,,11.209,7786.5,52,,1600,
2MASS J02192210-3925225 b,Imaging,2015,0,,16.141,4417.837,156,,,
2MASS J04414489+2301513 b,Imaging,2010,0,,12.6,2383.6,15,,,
2MASS J12073346-3932539 b,Imaging,2004,0,,12.9,1589.15,55,,1250,
2MASS J21402931+1625183 A b,Imaging,2009,0,7336.5,10.31,6657.48,,0.26,2075,
2MASS J22362452+4751425 b,Imaging,2016,0,,12.3,3972.875,230,,,
30 Ari B b,Radial Velocity,2009,0,335.10001,12.3,4392.4106,0.99,0.29,,
4 UMa b,Radial Velocity,2006,0,269.3,12.7,2256.5,0.87,0.432,,
42 Dra b,Radial Velocity,2008,0,479.1,13,1233.13,1.19,0.38,,
51 Eri b,Imaging,2015,0,11688,13.4,635.66,13.2,0.45,700,
51 Peg b,Radial Velocity,1995,0,4.230785,14.3,146.2018,0.0527,0.013,,
6 Lyn b,Radial Velocity,2008,0,934.3,13.4,638.8383,2.11,0.073,,
70 Vir b,Radial Velocity,1996,0,116.688,12.6,2380.45,0.481,0.3988,,
75 Cet b,Radial Velocity,2012,0,691.9,13.1,953.49,2.1,0.117,,
8 UMi b,Radial Velocity,2015,0,93.4,13.6,416.3573,0.49,0.06,,
81 Cet b,Radial Velocity,2008,0,952.7,12.8,1684.4,2.5,0.206,,
91 Aqr b,Radial Velocity,2013,0,181.4,13.1,1017,0.7,0.027,,
AB Aur b,Imaging,2022,0,,12.5,2860.45566,93.9,0.4,,
AB Pic b,Imaging,2005,0,,12.3,4290.5,260,,,
BD+03 2562 b,Radial Velocity,2017,0,481.9,12.7,2034.112,1.3,0.2,,
BD+14 4559 b,Radial Velocity,2009,0,268.94,13.8,330.5432,0.78,0.29,,
BD+15 2375 b,Radial Velocity,2016,0,153.22,13.8,337.21763,0.576,0.001,,
BD+15 2940 b,Radial Velocity,2013,0,137.48,13.7,352.78,0.539,0.26,,
BD+20 274 b,Radial Velocity,2012,0,578.2,13,1334.886,1.3,0.21,,
BD+20 594 b,Transit,2016,0,41.6855,2.578,22.2481,0.241,0,546,
BD+45 564 b,Radial Velocity,2021,0,307.88,13.6,432.24663,0.83,0.12,,
BD+48 738 b,Radial Velocity,2011,0,392.6,13.9,289.2253,1,0.2,,
BD+48 740 b,Radial Velocity,2018,0,733,13.5,540.311,1.7,0.76,,
BD+49 828 b,Radial Velocity,2015,0,2590,13.5,508.5,4.2,0.35,,
BD+55 362 b,Radial Velocity,2021,0,265.59,14,228.83645,0.78,0.27,,
BD+60 1417 b,Imaging,2021,0,,14.684,4767.4261,1662,,1303,
BD+63 1405 b,Radial Velocity,2021,0,1198.48,13,1258.60049,2.06,0.88,,
BD-00 4475 b,Radial Velocity,2021,0,723.2,12,7961.6016,1.48,0.39,,
BD-10 3166 b,Radial Velocity,2000,0,3.48777,14.1,187.5197,0.04,0.02,,
BD-13 2130 b,Radial Velocity,2007,0,714.29999,12.5,3108.3774,1.66,0.21,,
BD-17 63 b,Radial Velocity,2008,0,655.6,12.8,1620.9,1.34,0.54,,
CD Cet b,Radial Velocity,2020,0,2.2907,1.82,3.95,0.0185,,464,8.6
CFBDSIR J145829+101343 b,Imaging,2011,0,10037.5,12.4,3337.1,2.6,,370,
CFHTWIR-Oph 98 b,Imaging,2021,0,8040000,20.849,2479.06157,200,,1800,
CHXR 73 b,Imaging,2006,0,,12.3,3994.486,210,,,
CI Tau b,Radial Velocity,2019,0,8.9891,12.4,3686.828,,0.25,,
COCONUTS-2 b,Imaging,2021,0,402000000,12.442,2002.31896,7506,,434,
CT Cha b,Imaging,2007,0,,24.66,5403,440,,2600,
CoRoT-1 b,Transit,2008,0,1.5089557,16.7,327.35,0.02752,0,1898,2852.63
CoRoT-10 b,Transit,2010,0,13.2406,10.87,874,0.1055,0.53,600,
CoRoT-11 b,Transit,2010,0,2.99433,16.03,740.51,0.0436,0,1657,
CoRoT-12 b,Transit,2010,0,2.828042,16.14,291.438,0.04016,0.07,1442,661.13
CoRoT-13 b,Transit,2010,0,4.03519,9.92,415.704,0.051,0,1700,546.53
CoRoT-14 b,Transit,2010,0,1.51214,12.22,2415.4,0.027,0,1952,
CoRoT-16 b,Transit,2011,0,5.35227,13.11,170.032,0.0618,0.33,,
CoRoT-17 b,Transit,2011,0,3.7681,11.43,772.29,0.0461,0,1626,
CoRoT-18 b,Transit,2011,0,1.9000693,14.68,1102.82,0.0295,0.08,1550,823.7
