Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
KIC 8540376 c,Transit,2015,0,75.20000000,2.400,6.35000,,,,
KOI-142 b,Transit,2013,0,10.91647000,3.438,9.50000,0.098000,0.055610,758,68.56
KOI-142 c,Transit,2013,0,22.26492000,14.000,214.10000,0.155250,0.057240,,
KOI-1833 d,Transit,2021,0,7.68500000,2.580,11.02000,0.063400,0.000000,613,27.35
Kepler-100 b,Transit,2014,0,6.88705000,1.320,7.34000,0.072000,0.130000,1155,478.21
Kepler-100 c,Transit,2014,0,12.81590000,2.200,7.05000,0.109000,0.020000,939,208.66
Kepler-100 d,Transit,2014,0,35.33310000,1.610,3.00000,0.214300,0.380000,670,53.98
Kepler-104 b,Transit,2014,0,11.42754800,3.100,19.60000,0.094000,0.000000,852,119.91
Kepler-104 c,Transit,2014,0,23.66820500,3.130,9.96000,0.153000,0.000000,668,45.44
Kepler-104 d,Transit,2014,0,51.75539400,3.580,12.50000,0.257000,0.000000,515,16.01
Kepler-1073 b,Transit,2016,0,8.67888593,2.300,5.90000,0.080500,0.000000,905,128.55
Kepler-1073 c,Transit,2016,0,4.02582254,1.640,3.33000,0.048300,0.000000,1169,357.08
Kepler-1073 d,Transit,2021,0,2.50476003,1.488,2.82000,0.035200,0.000000,1369,828.59
Kepler-1130 b,Transit,2016,0,5.45298175,0.800,0.43700,0.059500,0.000000,904,162.65
Kepler-1130 c,Transit,2021,0,3.26663995,0.792,0.42200,0.042300,0.000000,1072,312.85
Kepler-1130 d,Transit,2021,0,4.27225018,0.645,0.20200,0.050600,0.000000,981,218.63
Kepler-114 b,Transit,2014,0,5.18854900,1.260,6.80000,0.053000,0.000000,586,92.53
Kepler-114 c,Transit,2013,0,8.04100000,1.600,2.80000,0.064820,0.000000,507,51.62
Kepler-114 d,Transit,2013,0,11.77600000,2.530,3.90000,0.083580,0.000000,446,31.02
Kepler-124 b,Transit,2014,0,3.41049300,0.730,0.31500,0.039000,0.000000,892,198.84
Kepler-124 c,Transit,2014,0,13.82137500,1.750,3.71000,0.100000,0.000000,560,30.72
Kepler-124 d,Transit,2014,0,30.95085100,1.110,1.41000,0.170000,0.000000,428,10.50
Kepler-1254 b,Transit,2016,0,9.99113313,1.550,3.02000,0.083300,0.000000,660,33.98
Kepler-1254 c,Transit,2016,0,3.60084276,1.300,2.24000,0.042200,0.000000,927,132.39
Kepler-1254 d,Transit,2016,0,5.72717226,1.310,2.27000,0.057500,0.000000,794,71.31
Kepler-126 b,Transit,2014,0,10.49571100,1.520,2.92000,0.099000,0.070000,1009,298.09
Kepler-126 c,Transit,2014,0,21.86974100,1.580,3.12000,0.162000,0.190000,790,112.13
Kepler-126 d,Transit,2014,0,100.28313400,2.500,6.80000,0.448000,0.020000,475,14.71
Kepler-127 b,Transit,2014,0,14.43588900,1.400,2.54000,0.125000,0.470000,884,159.16
Kepler-127 c,Transit,2014,0,29.39319500,2.660,7.56000,0.200000,0.030000,698,61.69
Kepler-127 d,Transit,2014,0,48.63040800,2.640,7.46000,0.280000,0.030000,590,31.52
Kepler-129 b,Transit,2014,0,15.79000000,2.400,20.00000,0.130000,0.010000,910,158.31
Kepler-129 c,Transit,2014,0,82.20000000,2.520,43.00000,0.390000,0.200000,525,17.55
Kepler-129 d,Radial Velocity,2021,0,2646.00000000,12.600,2637.97578,4.000000,0.150000,,
Kepler-130 b,Transit,2014,0,8.45745800,1.020,1.04000,0.079000,0.150000,982,221.73
Kepler-130 c,Transit,2014,0,27.50868000,2.900,8.75000,0.178000,0.000000,683,46.01
Kepler-130 d,Transit,2014,0,87.51790500,1.640,3.33000,0.377000,0.800000,451,9.83
Kepler-1311 b,Transit,2016,0,11.17269940,1.240,2.07000,0.098900,0.000000,1019,296.92
Kepler-1311 c,Transit,2016,0,2.53573424,1.220,1.98000,0.036800,0.000000,1671,2144.55
Kepler-1311 d,Transit,2021,0,197.51100160,9.658,67.50000,0.671100,0.000000,391,5.54
Kepler-1321 b,Transit,2016,0,11.12830484,4.920,21.50000,0.078100,0.000000,408,13.55
Kepler-1321 c,Transit,2016,0,2.22649109,2.400,6.35000,0.026700,0.000000,697,115.91
Kepler-1321 d,Transit,2021,0,5.72092009,2.628,7.41000,0.050100,0.000000,509,15.84
Kepler-138 b,Transit,2014,0,10.31260000,0.522,0.06600,0.076000,0.006000,443,6.81
Kepler-138 c,Transit,2014,0,13.78130000,1.197,1.97000,0.090600,0.011000,402,4.63
Kepler-138 d,Transit,2014,0,23.08810000,1.212,0.64000,0.127810,0.027000,338,2.32
Kepler-142 b,Transit,2014,0,2.02415200,1.990,4.62000,0.032000,0.000000,1597,1247.91
Kepler-142 c,Transit,2014,0,4.76170200,2.860,8.55000,0.057000,0.000000,1201,399.44
Kepler-142 d,Transit,2014,0,41.80911800,2.160,5.31000,0.242000,0.000000,582,22.07
Kepler-1468 b,Transit,2016,0,8.23984869,1.730,3.64000,0.081700,0.000000,1093,481.35
Kepler-1468 c,Transit,2016,0,3.54553021,1.150,1.60000,0.046600,0.000000,1448,1479.57
Kepler-1468 d,Transit,2021,0,19.59059906,3.332,11.10000,0.145600,0.000000,819,52.77
Kepler-148 b,Transit,2014,0,1.72936600,1.800,3.89000,0.028000,0.000000,1284,609.02
Kepler-148 c,Transit,2014,0,4.18004300,3.600,12.60000,0.050000,0.000000,957,187.20
Kepler-148 d,Transit,2016,0,51.84688575,8.680,56.30000,0.260700,0.000000,413,6.53
Kepler-149 b,Transit,2014,0,29.19894300,4.210,16.50000,0.184000,0.000000,540,23.64
Kepler-149 c,Transit,2014,0,55.32832800,1.610,3.22000,0.281000,0.000000,436,10.08
Kepler-149 d,Transit,2014,0,160.01803200,3.960,14.90000,0.571000,0.000000,306,2.45
Kepler-1530 b,Transit,2016,0,2.59044340,1.640,3.33000,0.037100,0.000000,1484,353.56
Kepler-1530 c,Transit,2016,0,5.32274060,1.650,3.36000,0.060000,0.000000,1167,135.18
Kepler-1530 d,Transit,2021,0,9.20761013,3.279,10.80000,0.086500,0.000000,972,211.08
Kepler-157 b,Transit,2014,0,1.73234200,1.320,2.30000,0.028000,0.000000,1546,1572.31
Kepler-157 c,Transit,2014,0,13.54050000,2.240,5.65000,0.110000,0.000000,779,101.75
Kepler-157 d,Transit,2016,0,7.02573474,1.460,2.73000,0.069800,0.000000,969,244.06
Kepler-160 b,Transit,2014,0,4.30939700,1.715,3.59000,0.055110,0.000000,1134,396.62
Kepler-160 c,Transit,2014,0,13.69942900,3.760,13.60000,0.119200,0.000000,771,84.85
Kepler-160 d,Transit Timing Variations,2020,0,30.00000000,,100.00000,0.170000,,,
Kepler-164 b,Transit,2014,0,5.03503000,1.410,2.57000,0.058000,0.000000,1141,370.92
Kepler-164 c,Transit,2014,0,10.94572300,2.730,7.90000,0.097000,0.000000,881,131.49
Kepler-164 d,Transit,2014,0,28.98676900,2.450,6.57000,0.187000,0.000000,637,35.89
Kepler-166 b,Transit,2014,0,7.65025400,2.270,5.77000,0.072000,0.000000,772,77.54
Kepler-166 c,Transit,2014,0,34.26028100,2.380,6.26000,0.195000,0.000000,468,10.51
Kepler-166 d,Transit,2016,0,1.55400393,1.730,3.64000,0.024600,0.000000,1313,651.41
Kepler-171 b,Transit,2014,0,4.16697200,2.340,6.08000,0.050000,0.000000,1053,304.18
Kepler-171 c,Transit,2014,0,11.46346200,2.560,7.08000,0.098000,0.000000,752,78.91
Kepler-171 d,Transit,2014,0,39.59551900,1.890,4.23000,0.223000,0.000000,497,15.10
Kepler-174 b,Transit,2014,0,13.98179000,1.960,4.50000,0.100000,0.000000,553,24.42
Kepler-174 c,Transit,2014,0,44.00052900,1.490,2.83000,0.214000,0.000000,377,5.30
Kepler-174 d,Transit,2014,0,247.35373000,2.190,5.43000,0.677000,0.000000,212,0.53
Kepler-178 b,Transit,2014,0,9.57669400,2.900,8.75000,0.085000,0.000000,846,84.57
Kepler-178 c,Transit,2014,0,20.55280200,2.880,8.65000,0.142000,0.000000,656,30.55
Kepler-178 d,Transit,2014,0,96.67898800,3.950,14.80000,0.397000,0.000000,392,3.87
Kepler-18 b,Transit,2011,0,3.50472500,2.000,6.90000,0.044700,0.000000,1165,355.74
Kepler-18 c,Transit,2011,0,7.64159000,5.490,17.30000,0.075200,0.000000,899,126.08
Kepler-18 d,Transit,2011,0,14.85888000,6.980,16.40000,0.117200,0.000000,720,51.92
Kepler-184 b,Transit,2014,0,10.68757600,2.360,6.17000,0.092000,0.000000,780,70.36
Kepler-184 c,Transit,2014,0,20.30300500,1.970,8.80000,0.141000,0.000000,630,29.88
Kepler-184 d,Transit,2014,0,29.02235800,2.490,6.76000,0.179000,0.000000,559,18.56
Kepler-19 b,Transit,2011,0,9.28716000,2.209,8.40000,0.083500,0.120000,762,93.54
Kepler-19 c,Transit Timing Variations,2011,0,28.73100000,3.680,13.10000,,0.210000,,
Kepler-19 d,Radial Velocity,2017,0,62.95000000,5.060,22.50000,,0.050000,,
Kepler-191 b,Transit,2014,0,9.93963200,1.340,2.36000,0.087000,0.000000,722,64.29
Kepler-191 c,Transit,2014,0,17.73850600,1.860,4.12000,0.128000,0.000000,596,29.74
Kepler-191 d,Transit,2016,0,5.94504102,2.280,5.82000,0.059900,0.000000,857,127.64
Kepler-192 b,Transit,2014,0,9.92674600,2.740,7.95000,0.090000,0.000000,803,105.30
Kepler-192 c,Transit,2014,0,21.22340000,2.790,8.20000,0.150000,0.000000,623,38.22
Kepler-192 d,Transit,2016,0,6.47027579,1.020,1.04000,0.066800,0.000000,926,186.08
Kepler-194 b,Transit,2014,0,2.09228100,1.510,2.89000,0.032000,0.000000,1648,953.17
Kepler-194 c,Transit,2014,0,17.30803200,2.590,7.22000,0.131000,0.000000,815,56.95
Kepler-194 d,Transit,2014,0,52.81497300,2.400,6.35000,0.275000,0.000000,562,12.86
Kepler-196 b,Transit,2014,0,20.73988600,1.900,4.27000,0.138000,0.000000,536,20.73
Kepler-196 c,Transit,2014,0,47.42773700,2.240,5.65000,0.240000,0.000000,407,6.88
Kepler-196 d,Transit,2021,0,122.08000180,2.661,7.56000,0.448400,0.000000,297,1.83
Kepler-198 b,Transit,2014,0,17.79003700,2.820,8.35000,0.131000,0.000000,655,44.55
Kepler-198 c,Transit,2014,0,49.56741600,2.470,6.66000,0.259000,0.000000,465,11.35
Kepler-198 d,Transit,2016,0,1.31184443,1.530,2.96000,0.022900,0.000000,1562,1444.52
Kepler-203 b,Transit,2014,0,3.16269700,2.570,7.13000,0.043000,0.000000,1308,668.22
Kepler-203 c,Transit,2014,0,5.37064700,2.470,749.90000,0.061000,0.000000,1096,329.79
Kepler-203 d,Transit,2014,0,11.32972000,1.440,33.90000,0.100000,0.000000,855,121.82
Kepler-206 b,Transit,2014,0,7.78198700,1.200,1.87000,0.078000,0.000000,983,192.27
Kepler-206 c,Transit,2014,0,13.13747100,1.770,3.78000,0.111000,0.000000,825,95.51
Kepler-206 d,Transit,2014,0,23.44281000,1.190,1.81000,0.163000,0.000000,681,44.17
Kepler-207 b,Transit,2014,0,1.61186500,1.570,3.09000,0.029000,0.000000,1930,4097.32
Kepler-207 c,Transit,2014,0,3.07157100,1.500,2.86000,0.044000,0.000000,1556,1742.71
Kepler-207 d,Transit,2014,0,5.86807500,3.310,11.00000,0.068000,0.000000,1254,732.60
Kepler-217 b,Transit,2014,0,5.37494300,2.230,5.60000,0.065000,0.000000,1413,1366.48
Kepler-217 c,Transit,2014,0,8.58600400,1.850,4.08000,0.089000,0.000000,1208,730.81
Kepler-217 d,Transit,2016,0,3.88689525,1.320,2.30000,0.050500,0.000000,1574,2099.75
Kepler-218 b,Transit,2014,0,3.61933700,1.480,2.79000,0.046000,0.000000,1156,460.66
Kepler-218 c,Transit,2014,0,44.69957600,3.140,10.00000,0.248000,0.000000,500,16.15
Kepler-218 d,Transit,2016,0,124.52446470,2.660,7.56000,0.486500,0.000000,356,4.12
Kepler-219 b,Transit,2014,0,4.58551200,2.950,9.01000,0.057000,0.000000,1307,456.73
Kepler-219 c,Transit,2014,0,22.71461300,3.580,12.50000,0.165000,0.000000,766,54.10
Kepler-219 d,Transit,2014,0,47.90364500,2.810,19.10000,0.272000,0.000000,598,20.01
Kepler-222 b,Transit,2014,0,3.93698100,3.160,10.10000,0.048000,0.000000,1004,206.77
Kepler-222 c,Transit,2014,0,10.08881000,4.640,19.40000,0.091000,0.000000,734,59.08
