Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,0,406.00000000,13.400,603.87700,0.920000,0.330000,,
47 UMa b,Radial Velocity,1996,0,1078.00000000,13.200,804.08000,2.100000,0.032000,,
47 UMa c,Radial Velocity,2001,0,2391.00000000,14.200,171.62100,3.600000,0.098000,,
47 UMa d,Radial Velocity,2009,0,14002.00000000,13.500,521.22000,11.600000,0.160000,,
61 Vir b,Radial Velocity,2009,0,4.21500000,2.110,5.10000,0.050201,0.120000,,
61 Vir c,Radial Velocity,2009,0,38.02100000,4.460,18.20000,0.217500,0.140000,,
61 Vir d,Radial Velocity,2009,0,123.01000000,5.110,22.90000,0.476000,0.350000,,
CoRoT-7 b,Transit,2009,0,0.85359163,1.681,4.07661,0.017016,0.000000,1756,
CoRoT-7 c,Radial Velocity,2009,0,3.69800000,2.830,8.40000,0.046000,0.000000,,
CoRoT-7 d,Radial Velocity,2022,0,8.96600000,4.310,17.14200,,,,
EPIC 201754305 d,Transit,2019,0,2.71578000,1.030,1.08000,,,,
EPIC 206024342 b,Transit,2019,0,4.50756000,1.700,3.53000,,,,
EPIC 206024342 c,Transit,2021,0,0.91172400,1.400,2.54000,,,,
EPIC 206024342 d,Transit,2021,0,14.64753100,2.600,7.27000,,,,
EPIC 249893012 b,Transit,2020,0,3.59510000,1.950,8.75000,0.047000,0.060000,1616,1037.00
EPIC 249893012 c,Transit,2020,0,15.62400000,3.670,14.67000,0.130000,0.070000,990,160.00
EPIC 249893012 d,Transit,2020,0,35.74700000,3.940,10.18000,0.220000,0.150000,752,53.00
GJ 1061 b,Radial Velocity,2020,0,3.20400000,1.100,1.37000,0.021000,0.310000,,3.80
GJ 1061 c,Radial Velocity,2020,0,6.68900000,1.180,1.74000,0.035000,0.290000,,1.40
GJ 1061 d,Radial Velocity,2020,0,13.03100000,1.160,1.64000,0.054000,0.530000,,0.60
GJ 163 b,Radial Velocity,2013,0,8.63182000,3.250,10.60000,0.060700,0.073000,,
GJ 163 c,Radial Velocity,2013,0,25.63058000,2.500,6.80000,0.125400,0.099000,,
GJ 163 d,Radial Velocity,2013,0,603.95116000,5.920,29.40000,1.030400,0.373000,,
GJ 180 b,Radial Velocity,2014,0,17.13300000,2.430,6.49000,0.092000,0.070000,,
GJ 180 c,Radial Velocity,2014,0,24.32900000,2.410,6.40000,0.129000,0.090000,,
GJ 180 d,Radial Velocity,2020,0,106.30000000,2.660,7.56000,0.309000,0.140000,,
GJ 3138 b,Radial Velocity,2017,0,1.22003000,1.180,1.78000,0.019700,0.190000,,118.10
GJ 3138 c,Radial Velocity,2017,0,5.97400000,1.880,4.18000,0.057000,0.110000,,13.90
GJ 3138 d,Radial Velocity,2017,0,257.80000000,3.230,10.50000,0.698000,0.320000,,0.10
GJ 357 b,Transit,2019,0,3.93072000,1.217,1.84000,0.035000,,525,12.60
GJ 357 c,Radial Velocity,2019,0,9.12470000,1.660,3.40000,0.061000,,401,4.45
GJ 357 d,Radial Velocity,2019,0,55.66100000,2.340,6.10000,0.204000,,220,0.38
GJ 433 b,Radial Velocity,2011,0,7.37050000,2.330,6.04300,0.062000,0.040000,,
GJ 433 c,Radial Velocity,2014,0,5094.10500000,6.270,32.42200,4.819000,0.120000,,
GJ 433 d,Radial Velocity,2020,0,36.05900000,2.140,5.22300,0.178000,0.070000,,
GJ 581 b,Radial Velocity,2005,0,5.36860000,4.110,15.80000,0.040610,0.000000,,
GJ 581 c,Radial Velocity,2007,0,12.91400000,2.210,5.50000,0.072100,0.000000,,
GJ 581 e,Radial Velocity,2009,0,3.14900000,1.170,1.70000,0.028150,0.000000,,
GJ 9827 b,Transit,2017,0,1.20898190,1.577,4.91000,0.018800,0.000000,1044,256.00
GJ 9827 c,Transit,2017,0,3.64809570,1.241,0.84000,0.039250,0.000000,722,59.00
GJ 9827 d,Transit,2017,0,6.20146980,2.022,4.04000,0.055910,0.000000,605,29.00
HD 11506 b,Radial Velocity,2007,0,1613.74017306,12.800,1716.82279,2.798425,0.390871,,
HD 11506 c,Radial Velocity,2008,0,223.95986342,13.300,115.84733,0.749283,0.233121,,
HD 11506 d,Radial Velocity,2022,0,14723.57452498,12.600,2446.83592,12.245208,0.060812,,
HD 125612 b,Radial Velocity,2007,0,557.69994314,13.200,944.27564,1.348279,0.446500,,
HD 125612 c,Radial Velocity,2009,0,4.15466389,4.010,15.17685,0.051386,0.148622,,
HD 125612 d,Radial Velocity,2009,0,2822.72697800,12.600,2352.38976,3.979432,0.114614,,
HD 136352 b,Radial Velocity,2019,0,11.57797000,1.664,4.72000,0.096400,0.000000,905,111.60
HD 136352 c,Radial Velocity,2019,0,27.59221000,2.916,11.24000,0.172100,0.000000,677,35.10
HD 136352 d,Radial Velocity,2019,0,107.24500000,2.562,8.82000,0.425000,0.000000,431,5.74
HD 142 A d,Radial Velocity,2022,0,108.45298959,10.800,81.62789,0.474065,0.129711,,
HD 142 b,Radial Velocity,2001,0,351.43394308,13.700,395.51812,1.038376,0.157528,,
HD 142 c,Radial Velocity,2012,0,10159.64279484,12.400,3521.33769,9.815941,0.276797,,
HD 153557 b,Radial Velocity,2022,0,7.29902668,4.730,20.05856,0.068049,0.065355,,
HD 153557 c,Radial Velocity,2022,0,15.27017677,4.330,17.30766,0.111312,0.511322,,
HD 153557 d,Radial Velocity,2022,0,40654.64809444,11.900,8680.48112,21.349779,0.151517,,
HD 181433 b,Radial Velocity,2008,0,9.37430000,2.400,6.35660,0.080000,0.400000,,
HD 181433 c,Radial Velocity,2008,0,962.00000000,14.100,203.00000,1.760000,0.280000,,
HD 181433 d,Radial Velocity,2008,0,2172.00000000,14.200,171.00000,3.000000,0.480000,,
HD 184010 b,Radial Velocity,2022,0,286.60000000,12.100,98.52681,0.940000,0.000000,,
HD 184010 c,Radial Velocity,2022,0,484.30000000,11.800,95.34852,1.334000,0.000000,,
HD 184010 d,Radial Velocity,2022,0,836.40000000,14.300,143.02278,1.920000,0.000000,,
HD 204313 b,Radial Velocity,2010,0,2041.11538546,12.900,1553.54852,3.183074,0.099741,,
HD 204313 c,Radial Velocity,2015,0,34.95875432,4.320,17.20043,0.211213,0.059476,,
HD 204313 e,Radial Velocity,2022,0,7325.64666214,12.200,4841.00771,7.444845,0.253187,,
HD 27894 b,Radial Velocity,2005,0,18.01938802,14.100,196.85951,0.125367,0.046978,,
HD 27894 c,Radial Velocity,2017,0,36.07000000,8.240,51.48846,0.198000,0.015000,,
HD 27894 d,Radial Velocity,2017,0,5019.54243994,12.700,2155.40718,5.359964,0.342834,,
HD 28109 b,Transit,2022,0,22.89104000,2.199,18.49600,0.135700,0.330700,881,98.75
HD 28109 c,Transit,2022,0,56.00819000,4.230,7.94300,0.308000,0.120300,585,29.95
HD 28109 d,Transit,2022,0,84.25999000,3.250,5.68100,0.411000,0.086400,506,17.37
HD 31527 b,Radial Velocity,2019,0,16.55350000,3.220,10.47000,0.125400,0.100000,,
HD 31527 c,Radial Velocity,2019,0,51.20530000,3.850,14.16000,0.266300,0.040000,,
HD 31527 d,Radial Velocity,2019,0,271.67370000,3.460,11.82000,0.809800,0.240000,,
HD 3167 b,Transit,2016,0,0.95962200,1.600,5.02000,0.018150,0.000000,1759,1625.00
HD 3167 c,Transit,2016,0,29.87522100,2.300,9.80000,0.179500,0.050000,548,16.60
HD 3167 d,Radial Velocity,2017,0,8.50900000,2.520,6.90000,0.077570,0.360000,,88.90
HD 33142 b,Radial Velocity,2011,0,330.00000000,13.700,400.46379,1.074000,0.049000,,
HD 33142 c,Radial Velocity,2018,0,810.20000000,13.900,282.86728,1.955000,0.081000,,
HD 33142 d,Radial Velocity,2022,0,89.90000000,9.320,63.56568,0.452000,0.191000,,
HD 37124 b,Radial Velocity,2002,0,154.37800000,14.000,214.53525,0.533640,0.054000,,
HD 37124 c,Radial Velocity,2002,0,885.50000000,14.100,207.22516,1.710000,0.125000,,
HD 37124 d,Radial Velocity,2005,0,1862.00000000,14.000,221.20968,2.807000,0.160000,,
HD 39091 b,Radial Velocity,2001,0,2088.75851193,12.400,3889.98524,3.309065,0.642306,,
HD 39194 b,Radial Velocity,2021,0,5.63680000,1.830,4.00000,0.056000,0.207000,,
HD 39194 c,Radial Velocity,2021,0,14.03000000,2.390,6.30000,0.103000,0.154000,,
HD 39194 d,Radial Velocity,2021,0,33.91000000,1.830,4.00000,0.185000,0.333000,,
HD 69830 b,Radial Velocity,2006,0,8.66700000,3.170,10.20000,0.078500,0.100000,,
HD 69830 c,Radial Velocity,2006,0,31.56000000,3.460,11.80000,0.186000,0.130000,,
HD 69830 d,Radial Velocity,2006,0,197.00000000,4.450,18.10000,0.630000,0.070000,,
HD 7924 b,Radial Velocity,2008,0,5.39792000,2.400,6.35660,0.060000,0.060000,826,113.70
HD 7924 c,Radial Velocity,2015,0,15.29900000,2.720,7.86000,0.113400,0.098000,584,28.35
HD 7924 d,Radial Velocity,2015,0,24.45100000,2.420,6.44000,0.155100,0.210000,499,15.17
HD 93385 b,Radial Velocity,2021,0,7.34260000,1.880,4.20000,0.075600,0.295000,,
HD 93385 c,Radial Velocity,2021,0,13.18000000,2.560,7.10000,0.112000,0.200000,,
HD 93385 d,Radial Velocity,2021,0,45.85000000,2.890,8.70000,0.256500,0.090000,,
HD 96700 b,Radial Velocity,2021,0,8.12450000,2.930,8.90000,0.077700,0.138000,,
HD 96700 c,Radial Velocity,2021,0,19.88000000,1.690,3.50000,0.141000,0.293000,,
HD 96700 d,Radial Velocity,2021,0,103.50000000,3.610,12.70000,0.424000,0.270000,,
HIP 14810 b,Radial Velocity,2005,0,6.67389200,13.000,1239.53700,0.069600,0.143990,,
HIP 14810 c,Radial Velocity,2006,0,147.74700000,13.600,416.35730,0.549000,0.156600,,
HIP 14810 d,Radial Velocity,2009,0,981.80000000,14.100,187.51970,1.940000,0.185000,,
HIP 57274 b,Radial Velocity,2011,0,8.13520000,2.400,6.35660,0.070000,0.190000,,
HIP 57274 c,Radial Velocity,2011,0,32.03000000,14.200,130.00000,0.178000,0.050000,,
HIP 57274 d,Radial Velocity,2011,0,431.70000000,14.200,167.40000,1.010000,0.270000,,
HR 858 b,Transit,2019,0,3.58599000,2.085,5.00000,0.048000,0.300000,1572,989.70
HR 858 c,Transit,2019,0,5.97293000,1.939,4.42000,0.067400,0.190000,1326,512.00
HR 858 d,Transit,2019,0,11.23000000,2.164,5.32000,0.102700,0.280000,1075,217.00
K2-136 b,Transit,2017,0,7.97529200,0.990,0.93700,,0.100000,553,
K2-136 c,Transit,2017,0,17.30713700,2.910,8.80000,0.117280,0.130000,425,11.90
K2-136 d,Transit,2017,0,25.57506500,1.450,2.70000,,0.140000,373,
K2-148 b,Transit,2018,0,4.38395000,1.330,2.33000,0.045400,,,48.80
K2-148 c,Transit,2018,0,6.92260000,1.730,3.64000,0.061600,,,26.50
K2-148 d,Transit,2018,0,9.75790000,1.640,3.33000,0.077400,,,16.80
K2-155 b,Transit,2018,0,6.34200000,1.800,3.89000,0.056200,,708,19.90
K2-155 c,Transit,2018,0,13.85000000,2.600,7.27000,0.094600,,583,7.00
K2-155 d,Transit,2018,0,40.71800000,1.900,4.27000,0.193700,,381,1.67
K2-16 b,Transit,2015,0,7.61880000,2.020,4.74000,0.066700,,658,44.50
K2-16 c,Transit,2015,0,19.07863000,2.540,6.99000,0.122900,,485,13.10
K2-165 b,Transit,2018,0,2.35499200,1.274,2.17000,,,,
K2-165 c,Transit,2018,0,4.38274500,1.554,3.03000,,,,
K2-165 d,Transit,2018,0,14.10136100,2.648,7.50000,,,629,37.08
K2-183 b,Transit,2018,0,0.46928500,1.100,1.37000,,,,
K2-183 c,Transit,2018,0,10.78799200,2.300,5.90000,0.093200,,787,
K2-183 d,Transit,2018,0,22.62034400,2.300,5.90000,0.152700,,615,
K2-19 b,Transit,2015,0,7.92220000,7.000,32.40000,0.074000,0.200000,854,87.70
K2-19 c,Transit,2015,0,11.89930000,4.100,10.80000,0.097100,0.210000,745,48.80
K2-19 d,Transit,2016,0,2.50810000,1.110,10.00000,0.034400,0.000000,1252,583.50
K2-198 b,Transit,2018,0,17.04286830,4.189,16.30000,,,716,
K2-198 c,Transit,2019,0,3.35960550,1.423,2.61000,,,1230,
K2-198 d,Transit,2019,0,7.45001770,2.438,6.52000,,,943,
K2-219 b,Transit,2018,0,3.90128700,1.348,2.38000,,,,
K2-219 c,Transit,2018,0,6.66767000,1.438,2.66000,,,,
K2-219 d,Transit,2018,0,11.13727800,2.576,7.16000,,,,
K2-233 b,Transit,2018,0,2.46750000,1.343,11.26000,0.033080,0.079000,1121,273.00
K2-233 c,Transit,2018,0,7.06005000,1.281,12.81000,0.066660,0.200200,790,67.10
K2-233 d,Transit,2018,0,24.36450000,2.358,21.14000,0.152240,0.199900,523,12.90
K2-239 b,Transit,2018,0,5.24000000,1.100,1.37000,0.044100,,502,
K2-239 c,Transit,2018,0,7.77500000,1.000,0.97200,0.057600,,427,
K2-239 d,Transit,2018,0,10.11500000,1.100,1.37000,0.068500,,399,
K2-3 b,Transit,2015,0,10.05462600,1.980,6.48000,0.074000,0.000000,504,5.80
K2-3 c,Transit,2015,0,24.64658200,1.560,2.14000,0.134500,0.000000,374,1.77
K2-3 d,Transit,2015,0,44.55646000,1.530,2.80007,0.209700,0.000000,282,0.80
K2-352 b,Transit,2021,0,3.66591200,1.370,2.45000,,,1160,
K2-352 c,Transit,2018,0,8.23488500,1.920,4.35000,,,885,
K2-352 d,Transit,2018,0,14.87138700,2.230,5.60000,,,727,
K2-368 b,Transit,2022,0,5.02559800,1.332,2.34000,,,,
K2-368 c,Transit,2022,0,9.66018600,1.361,2.42000,,,,
K2-368 d,Transit,2022,0,20.20108500,1.948,4.45000,,,,
K2-37 b,Transit,2016,0,4.44117000,1.610,3.22000,0.051100,,974,213.30
K2-37 c,Transit,2016,0,6.42904000,2.750,8.00000,0.065400,,861,130.30
K2-37 d,Transit,2016,0,14.09189000,2.730,7.90000,0.110300,,663,45.70
K2-381 b,Transit,2022,0,7.93893340,1.075,1.26000,,,,
K2-381 c,Transit,2022,0,16.03465600,2.000,4.66000,,,,
K2-381 d,Transit,2022,0,26.80302300,1.689,3.50000,,,,
K2-58 b,Transit,2016,0,7.05254000,2.680,7.65000,0.069200,,,118.00
K2-58 c,Transit,2016,0,2.53726000,1.620,3.26000,0.035000,,,462.00
K2-58 d,Transit,2016,0,22.88270000,1.710,3.57000,0.151700,,,24.60
K2-80 b,Transit,2016,0,19.09180000,2.010,4.70000,0.135000,,,32.50
K2-80 c,Transit,2016,0,5.60500000,1.470,2.76000,0.059600,,,166.00
K2-80 d,Transit,2018,0,28.86725300,2.552,7.04000,,,,
KIC 10001893 b,Orbital Brightness Modulation,2014,1,0.21970000,,,,,,
KIC 10001893 c,Orbital Brightness Modulation,2014,1,0.32528000,,,,,,
KIC 10001893 d,Orbital Brightness Modulation,2014,1,0.81161000,,,,,,
KIC 8540376 b,Transit,2015,0,31.80990000,4.100,15.80000,,,,
