Planet Name,Discovery Method,Discovery Year,Controversial Flag,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass [Earth Mass],Orbit Semi-Major Axis [au],Eccentricity,Equilibrium Temperature [K],Insolation Flux [Earth Flux]
Kepler-1473 b,Transit,2016,0,14.42735510,1.190,1.81000,0.116000,0.000000,783,111.01
Kepler-1474 b,Transit,2016,0,36.43334520,2.160,5.31000,0.210800,0.000000,561,21.39
Kepler-1475 b,Transit,2016,0,82.17737400,2.920,8.85000,0.373000,0.000000,441,13.76
Kepler-1476 b,Transit,2016,0,10.35863224,1.670,3.43000,0.093200,0.000000,860,75.64
Kepler-1477 b,Transit,2016,0,11.55530021,1.180,1.76000,0.091100,0.000000,674,78.16
Kepler-1478 b,Transit,2016,0,26.08405940,1.730,3.64000,0.168100,0.000000,598,85.28
Kepler-1479 b,Transit,2016,0,14.53261362,1.830,4.01000,0.117300,0.000000,746,98.57
Kepler-1480 b,Transit,2016,0,22.12679948,1.670,3.43000,0.152500,0.000000,721,16.32
Kepler-1481 b,Transit,2016,0,5.94220998,1.230,2.04000,0.059000,0.000000,797,71.94
Kepler-1482 b,Transit,2016,0,12.25383217,1.010,1.01000,0.101600,0.000000,678,86.50
Kepler-1483 b,Transit,2016,0,9.50851560,1.520,2.92000,0.095800,0.000000,1131,265.02
Kepler-1484 b,Transit,2016,0,30.45491360,2.110,5.10000,0.193900,0.000000,624,35.92
Kepler-1485 b,Transit,2016,0,19.91577250,1.470,2.76000,0.146700,0.000000,728,85.18
Kepler-1486 b,Transit,2016,0,54.64957590,2.320,5.99000,0.284600,0.000000,538,22.37
Kepler-1487 b,Transit,2016,0,7.31946363,2.130,5.18000,0.089800,0.000000,1682,323.29
Kepler-1489 b,Transit,2016,0,82.29475100,1.770,3.78000,0.367900,0.000000,400,11.89
Kepler-1490 b,Transit,2016,0,92.43629730,3.040,9.48000,0.372900,0.000000,348,3.79
Kepler-1491 b,Transit,2016,0,16.58617620,1.510,2.89000,0.127000,0.000000,821,138.11
Kepler-1492 b,Transit,2016,0,16.75255007,1.490,2.83000,0.126200,0.000000,801,11.52
Kepler-1493 b,Transit,2016,0,15.02179830,1.410,2.57000,0.119700,0.000000,874,137.91
Kepler-1494 b,Transit,2016,0,91.08048200,3.070,9.64000,0.398200,0.000000,415,9.11
Kepler-1495 b,Transit,2016,0,85.27325600,2.940,8.96000,0.367700,0.000000,443,9.10
Kepler-1496 b,Transit,2016,0,64.65880170,2.220,5.56000,0.321100,0.000000,535,18.38
Kepler-1497 b,Transit,2016,0,8.74199772,1.660,3.39000,0.081700,0.000000,924,172.38
Kepler-1498 b,Transit,2016,0,48.05140500,1.330,2.33000,0.252800,0.000000,564,9.86
Kepler-1499 b,Transit,2016,0,44.20080000,1.190,1.81000,0.219600,0.000000,409,7.37
Kepler-15 b,Transit,2011,0,4.94278200,10.760,209.76000,0.057140,0.060000,1251,430.68
Kepler-1500 b,Transit,2016,0,15.03301050,1.200,1.87000,0.123600,0.000000,928,131.82
Kepler-1501 b,Transit,2016,0,14.55645330,1.560,3.05000,0.122800,0.000000,787,100.00
Kepler-1502 b,Transit,2016,0,41.70836290,3.180,10.20000,0.248200,0.000000,608,77.32
Kepler-1503 b,Transit,2016,0,96.16987000,2.270,5.77000,0.377100,0.000000,321,5.64
Kepler-1504 b,Transit,2016,0,82.30400300,2.130,5.18000,0.370400,0.000000,485,25.17
Kepler-1505 b,Transit,2016,0,30.86093660,0.930,0.74900,0.186200,0.000000,525,36.12
Kepler-1506 b,Transit,2016,0,14.03291540,1.320,2.30000,0.116800,0.000000,783,235.81
Kepler-1507 b,Transit,2016,0,16.05062130,0.840,0.52000,0.123400,0.000000,630,30.48
Kepler-1508 b,Transit,2016,0,20.70565040,1.330,2.33000,0.162900,0.000000,967,116.14
Kepler-1509 b,Transit,2016,0,25.43381970,1.850,4.08000,0.170700,0.000000,667,83.08
Kepler-1510 b,Transit,2016,0,84.70392100,3.360,11.20000,0.408900,0.000000,537,14.04
Kepler-1511 b,Transit,2016,0,23.23827920,1.680,3.46000,0.175300,0.000000,903,228.22
Kepler-1512 b,Transit,2016,0,20.35972599,1.180,1.76000,0.109700,0.000000,322,1.60
Kepler-1513 b,Transit,2016,0,160.88465087,8.460,53.90000,0.541600,0.000000,346,2.23
Kepler-1515 b,Transit,2016,0,214.31141640,9.550,66.20000,0.765500,0.000000,380,6.02
Kepler-1516 b,Transit,2016,0,7.25931979,1.750,3.71000,0.071800,0.000000,967,615.25
Kepler-1517 b,Transit,2016,0,5.54608367,9.760,68.70000,0.078000,0.000000,2336,1526.98
Kepler-1518 b,Transit,2016,0,5.11177904,3.050,9.53000,0.059300,0.000000,1351,1079.46
Kepler-1519 b,Transit,2016,0,240.79893970,7.060,39.60000,0.765500,0.000000,342,3.94
Kepler-1520 b,Transit,2016,0,0.65355357,5.770,28.10000,0.012900,0.000000,1437,1134.39
Kepler-1521 b,Transit,2016,0,47.14840805,2.500,6.80000,0.231700,0.000000,391,5.12
Kepler-1522 b,Transit,2016,0,1.84788917,1.730,3.64000,0.028800,0.000000,1374,1513.46
Kepler-1523 b,Transit,2016,0,0.93875077,1.580,3.12000,0.018500,0.000000,1676,2218.14
Kepler-1524 b,Transit,2016,0,70.96746030,3.540,12.30000,0.339200,0.000000,438,8.44
