Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
2MASS J19383260+4603591,,29564.00,0.20,0.48,1.450,5.51,
47 UMa,G0V,5872.00,1.21,1.06,0.198,4.30,6.480
61 Vir,G5 V,5577.00,0.96,0.94,-0.095,4.34,8.960
CoRoT-7,G9 V,5250.00,0.84,0.92,-0.292,4.57,1.800
K2-16,K3 V,4742.00,0.66,0.68,-0.761,4.51,
EPIC 206024342,,5724.00,1.10,0.93,-0.170,4.50,
EPIC 249893012,G8 IV/V,5430.00,1.71,1.05,0.356,3.99,9.000
GJ 1061,M5.5 V,2953.00,0.16,0.12,-2.770,5.16,7.000
GJ 163,M,3500.00,0.41,0.40,-1.708,4.82,6.000
GJ 180,M3,3811.50,0.41,0.43,-1.609,4.81,
GJ 3138,M0,3717.00,0.50,0.68,-1.347,4.63,
GJ 357,M2.5 V,3505.00,0.34,0.34,-1.798,4.94,
GJ 433,M2V,3461.00,0.47,0.48,-1.475,4.76,
GJ 581,M3 V,3396.00,0.33,0.31,-1.885,4.89,4.300
GJ 9827,K6 V,4340.00,0.60,0.61,-0.942,4.66,10.000
HD 11506,G0 V,6183.00,1.24,1.12,0.337,4.43,2.300
HD 125612,G3 V,5900.00,1.05,1.05,0.060,4.41,1.770
HD 136352,G4 V,5664.00,1.06,0.87,0.016,4.39,12.300
HD 142,F7V,6245.00,1.47,1.21,0.474,4.62,3.120
HD 153557,K0,4837.00,0.75,0.79,-0.562,4.59,
HD 181433,K3 IV,4962.00,0.81,0.78,-0.511,4.37,6.700
HD 184010,K0 III-IV,4971.00,4.86,1.35,1.117,3.18,2.760
HD 204313,G5 V,5767.00,1.13,1.03,0.100,4.37,3.380
HD 27894,K2 V,4894.00,0.89,0.81,-0.409,4.49,13.000
HD 28109,F8/G0 V,6120.00,1.45,1.26,0.456,4.13,1.100
HD 31527,G2 V,5898.00,1.07,0.96,0.079,4.45,
HD 3167,K0 V,5261.00,0.86,0.86,-0.262,4.47,5.000
HD 33142,K0 III,5025.40,4.17,1.52,1.000,3.38,2.720
HD 37124,G4 V,5698.64,0.95,0.85,-0.112,4.39,4.000
HD 39091,G0 V,5998.00,1.19,1.07,0.195,4.36,3.920
HD 39194,K0 V,5205.00,0.78,0.67,-0.409,4.53,10.000
HD 69830,K0V,5385.00,0.89,0.86,-0.220,4.49,7.000
HD 7924,K0.5 V,5075.00,0.78,0.83,-0.414,4.59,0.880
HD 93385,G2/G3 V,5977.00,1.18,1.04,0.207,4.42,3.300
HD 96700,G0 V,5845.00,1.16,0.89,0.140,4.39,8.600
HIP 14810,G5,5544.00,1.07,1.01,-0.010,4.22,5.840
HIP 57274,K4 V,4640.00,0.68,0.73,0.190,4.71,7.870
HR 858,F6 V,6201.00,1.31,1.15,0.371,4.26,
K2-136,K5.5,4499.00,0.66,0.74,-0.788,4.66,0.688
K2-148,,4079.00,0.63,0.65,-0.996,4.65,
K2-155,K7,4258.00,0.58,0.65,-1.229,4.60,
K2-165,,5185.00,0.80,0.83,-0.370,4.46,
K2-183,,5482.00,0.87,0.94,-0.138,4.60,
K2-19,G9 V,5322.00,0.82,0.88,-0.305,4.51,8.000
K2-198,,5212.90,0.76,0.80,-0.401,4.60,
K2-219,,5753.00,1.19,1.02,0.151,4.23,
K2-233,K3,5033.00,0.71,0.79,-0.523,4.64,0.360
K2-239,M3.0 V,3420.00,0.36,0.40,-1.796,4.90,
K2-3,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-1.150,4.73,1.000
K2-352,,5791.00,0.95,0.98,-0.063,4.47,
K2-368,,4663.00,0.66,0.75,-0.693,4.67,
K2-37,G3 V,5413.00,0.85,0.90,-0.469,4.52,
K2-381,,4473.00,0.68,0.75,-0.739,4.65,
K2-58,,5413.00,0.86,0.89,-0.412,4.52,
K2-80,,5377.00,0.84,0.91,-0.432,4.65,
KIC 10001893,,27500.00,0.18,0.47,1.431,5.35,
KOI-7892,,6474.00,1.24,1.15,0.299,4.31,
KOI-142,G6 V,5466.00,0.90,0.99,-0.192,4.53,1.600
Kepler-968,,4598.00,0.70,0.76,-0.763,4.63,2.140
Kepler-100,,5825.00,1.49,1.08,0.411,4.12,6.460
Kepler-104,,5711.00,1.35,0.81,0.089,4.11,12.900
Kepler-1073,,5509.00,1.12,0.92,-0.010,4.31,3.720
Kepler-1130,,5450.00,0.84,0.94,-0.260,4.56,13.800
Kepler-114,M0 V,4660.00,0.54,0.56,-0.685,4.72,2.690
Kepler-124,,4984.00,0.64,0.84,-0.467,4.67,1.820
Kepler-1254,,4985.00,0.75,0.78,-0.572,4.59,5.620
Kepler-126,,6239.00,1.36,1.18,0.452,4.25,3.390
Kepler-127,,6106.00,1.36,1.27,0.407,4.26,2.630
Kepler-129,G4 V,5770.00,1.65,1.18,0.454,4.08,6.430
Kepler-130,,5884.00,1.13,0.96,0.198,4.30,5.890
Kepler-1311,,5616.00,1.67,1.03,0.472,4.00,7.200
Kepler-1321,,3640.00,0.50,0.51,-0.862,4.74,4.170
Kepler-138,M1 V,3841.00,0.44,0.52,-1.222,4.89,4.680
Kepler-142,,5790.00,1.27,0.99,0.107,4.26,8.200
Kepler-1468,,5794.00,1.50,1.07,0.531,4.12,3.550
Kepler-148,,5172.00,0.81,0.86,-0.383,4.56,4.680
Kepler-149,,5381.00,0.95,0.92,-0.119,4.46,14.000
Kepler-1530,,5678.00,1.30,1.02,-0.311,4.21,4.270
Kepler-157,,5866.00,1.03,1.02,0.091,4.42,4.070
Kepler-160,,5471.00,1.12,0.97,0.004,4.47,1.600
Kepler-164,,5888.00,1.15,1.09,0.113,4.33,0.620
Kepler-166,,5350.00,0.83,0.88,-0.385,4.55,4.470
Kepler-171,,5642.00,0.84,0.91,-0.079,4.57,3.470
Kepler-174,,4880.00,0.62,0.60,-0.570,4.68,4.900
Kepler-178,,5676.00,1.07,0.94,-0.208,4.33,11.300
Kepler-18,,5345.00,1.11,0.97,-0.031,4.31,10.000
Kepler-184,,5788.00,0.87,0.97,-0.225,4.51,1.700
Kepler-19,,5544.00,0.86,0.94,-0.183,4.51,1.900
Kepler-191,,5215.00,0.80,0.84,-0.414,4.56,4.900
Kepler-192,,5487.00,0.94,0.94,-0.094,4.46,6.760
Kepler-194,,6089.00,1.02,1.09,0.043,4.42,2.500
Kepler-196,,5132.00,0.77,0.81,-0.393,4.57,3.980
Kepler-198,,5636.00,0.93,0.97,-0.109,4.49,3.720
Kepler-203,,5821.00,1.11,1.00,0.094,4.36,0.500
Kepler-206,,5764.00,1.19,1.05,0.084,4.31,7.000
Kepler-207,,5920.00,1.59,1.04,0.534,4.13,4.170
Kepler-217,,6341.00,1.76,1.37,0.754,4.08,2.630
Kepler-218,,5542.00,1.02,1.01,0.009,4.42,5.620
Kepler-219,,5786.00,1.49,1.17,0.214,4.16,4.000
Kepler-222,,5433.00,0.87,0.88,-0.338,4.55,0.700
Kepler-226,,5571.00,0.80,0.91,-0.239,4.59,0.500
Kepler-228,,6043.00,1.01,0.95,0.111,4.47,0.300
Kepler-229,,5120.00,0.73,0.80,-0.538,4.63,1.100
Kepler-23,,5828.00,1.55,1.10,0.398,4.09,6.610
Kepler-244,,5554.00,0.80,0.96,-0.256,4.58,0.500
Kepler-247,,5100.00,0.77,0.84,-0.422,4.61,0.800
Kepler-249,M2 V,3568.00,0.48,0.51,-1.495,4.78,3.090
Kepler-25,,6270.00,1.32,1.17,0.391,4.28,11.000
Kepler-250,,5160.00,0.81,0.83,-0.457,4.57,13.200
Kepler-253,,5208.00,0.79,0.85,-0.387,4.59,0.700
Kepler-254,,5957.00,0.91,0.93,-0.125,4.52,0.300
Kepler-255,,5431.00,0.86,0.90,-0.183,4.53,4.370
Kepler-257,,5180.00,1.04,0.85,-0.378,4.36,14.000
Kepler-267,M1 V,4258.00,0.56,0.54,-1.229,4.73,3.310
Kepler-27,,5251.00,0.82,0.93,-0.329,4.58,1.900
Kepler-271,,5555.00,0.87,0.90,-0.253,4.52,4.570
Kepler-272,,5297.00,0.93,0.86,0.066,4.43,4.900
Kepler-275,,6165.00,1.38,1.16,0.449,4.23,0.310
