Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-276,,5779.00,1.03,1.10,-0.089,4.46,0.400
Kepler-279,,6689.45,1.07,1.10,0.519,4.42,0.220
Kepler-281,,5717.00,0.88,0.98,0.146,4.54,0.600
Kepler-288,,5918.00,1.09,1.03,0.056,4.35,3.720
Kepler-289,,5990.00,1.00,1.08,0.061,4.47,0.650
Kepler-295,,5603.00,0.90,0.89,0.629,4.44,8.800
Kepler-298,,4465.00,0.58,0.66,-0.733,4.71,2.400
Kepler-30,,5498.00,0.95,0.99,-0.237,4.77,2.000
Kepler-301,,5815.00,0.90,0.98,-0.080,4.53,4.170
Kepler-31,,6340.00,1.22,1.21,0.301,4.70,0.280
Kepler-310,,5797.00,0.88,0.91,-0.239,4.52,1.900
Kepler-319,,5526.00,0.90,0.96,-0.181,4.49,3.550
Kepler-325,,5752.00,1.00,0.92,-0.255,4.41,8.200
Kepler-326,,5105.00,0.80,0.85,-0.157,4.56,14.000
Kepler-327,,3799.00,0.49,0.59,-1.260,4.76,3.020
Kepler-331,,4347.00,0.49,0.65,-0.784,4.77,1.200
Kepler-332,,4955.00,0.72,0.80,-0.584,4.61,2.820
Kepler-334,,5828.00,1.07,1.07,0.056,4.38,1.600
Kepler-336,,5867.00,1.30,1.09,0.260,4.26,4.900
Kepler-339,,5631.00,0.80,0.93,-0.313,4.59,4.370
Kepler-350,,6492.30,1.25,1.00,0.428,4.24,4.000
Kepler-351,,5225.00,0.78,0.81,-0.386,4.58,4.900
Kepler-352,,5208.00,0.77,0.80,-0.432,4.56,3.470
Kepler-354,,4648.00,0.67,0.65,-0.714,4.63,13.800
Kepler-357,,5036.00,0.83,0.79,-0.556,4.50,13.800
Kepler-359,,6248.00,1.09,1.14,-0.097,4.43,3.020
Kepler-363,,5593.00,1.49,1.10,0.365,4.15,5.250
Kepler-372,,6509.00,1.14,1.15,0.321,4.41,3.090
Kepler-374,,5977.00,0.91,1.04,0.274,4.48,1.500
Kepler-381,,6197.00,2.19,1.20,0.514,3.84,2.570
Kepler-385,,5829.00,1.16,1.05,0.144,4.33,3.310
Kepler-394,,6398.00,1.10,1.14,0.053,4.41,0.250
Kepler-398,,4557.00,0.67,0.72,-0.811,4.64,2.340
Kepler-399,,5502.00,0.68,0.90,-0.418,4.62,3.980
Kepler-401,,6184.00,1.29,1.17,0.566,4.28,3.390
Kepler-403,,6209.00,1.45,1.25,0.644,4.21,3.090
Kepler-42,M,3068.00,0.17,0.13,-2.620,5.11,4.500
Kepler-431,,6004.00,1.09,1.07,0.498,4.40,4.340
Kepler-445,M4,3157.00,0.21,0.18,-2.100,4.93,6.610
Kepler-446,M4,3359.00,0.24,0.22,-2.248,5.03,3.720
Kepler-450,,6197.21,1.64,1.19,0.554,4.08,3.020
Kepler-46,,5309.00,0.79,0.92,-0.378,4.58,4.500
Kepler-47,,5636.00,0.94,0.96,-0.144,4.49,
Kepler-487,,5422.00,0.89,0.87,-0.173,4.48,3.400
Kepler-51,,6018.00,0.94,1.04,-0.142,4.51,0.300
Kepler-52,M0 V,4263.00,0.56,0.58,-0.996,4.73,3.550
Kepler-529,,6078.00,1.19,1.01,0.207,4.29,0.200
Kepler-53,,6085.00,0.96,0.98,0.036,4.50,0.300
Kepler-54,M1 V,4252.00,0.55,0.52,-1.301,4.73,13.800
Kepler-56,,4819.44,4.22,1.29,0.905,3.31,4.370
Kepler-58,,6099.00,1.13,1.04,-0.004,4.37,2.140
Kepler-60,,5905.00,1.26,1.04,0.369,4.26,5.000
Kepler-603,,5808.00,1.01,1.01,0.392,4.43,4.370
Kepler-616,,6004.00,0.98,1.06,-0.111,4.48,0.400
Kepler-68,,5875.23,1.26,1.06,0.231,4.26,6.300
Kepler-770,,5598.00,0.92,0.94,0.054,4.49,4.570
Kepler-81,M0 V,4500.00,0.59,0.65,-0.889,4.70,3.630
Kepler-83,M0 V,4648.00,0.59,0.58,-1.102,4.72,3.090
Kepler-9,,5777.00,1.02,1.07,0.037,4.49,1.000
Kepler-92,,5904.34,1.82,1.07,0.558,3.95,5.200
PSR B1257+12,,,,1.40,,,3.000
TOI-125,K0 V,5320.00,0.85,0.86,-0.285,4.52,6.800
TOI-1749,M0 V,3985.00,0.55,0.58,-1.156,4.70,0.800
TOI-2076,K,5200.00,0.77,0.82,-0.423,4.45,0.340
TOI-270,M,3506.00,0.38,0.39,-1.712,4.87,
TOI-431,,4850.00,0.73,0.78,-0.565,4.60,
TOI-451,,5550.00,0.88,0.95,-0.189,4.56,0.120
TOI-700,M2 V,3461.00,0.42,0.42,-1.635,4.80,1.500
TOI-712,K4.5 V,4622.00,0.67,0.73,-0.728,4.65,0.830
Wolf 1061,M3.5,3342.00,0.31,0.29,-1.991,4.90,
YZ Cet,M4.5 V,3151.00,0.16,0.14,-2.659,5.17,3.800
ups And,F8 V,6156.77,1.56,1.30,0.525,4.13,5.000
