Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1473,,6046.00,1.09,1.09,0.194,4.40,2.630
Kepler-1474,,5870.00,1.04,1.04,0.029,4.42,3.800
Kepler-1475,,6214.00,1.28,1.18,0.254,4.29,2.820
Kepler-1476,,5663.00,0.96,0.98,-0.243,4.47,4.570
Kepler-1477,,5100.00,0.78,0.81,-0.196,4.58,4.680
Kepler-1478,,5904.00,1.06,1.04,0.304,4.41,3.980
Kepler-1479,,5796.00,0.98,0.99,0.145,4.45,4.270
Kepler-1480,,5156.00,0.81,0.85,-0.449,4.56,4.790
Kepler-1481,,4908.00,0.75,0.80,-0.587,4.60,3.890
Kepler-1482,,5381.00,0.84,0.88,-0.083,4.54,4.470
Kepler-1483,,6337.00,1.40,1.25,0.394,4.24,2.400
Kepler-1484,,5730.00,0.92,0.94,0.796,4.49,3.980
Kepler-1485,,6087.00,1.12,1.11,0.280,4.39,2.510
Kepler-1486,,5965.00,1.12,1.08,0.312,4.38,3.550
Kepler-1487,,6541.00,1.63,1.38,0.557,4.16,1.950
Kepler-1489,,5655.00,0.90,0.93,0.198,4.51,4.070
Kepler-1490,,5515.00,0.87,0.90,-0.319,4.52,4.570
Kepler-1491,,5728.00,0.99,1.00,0.355,4.45,4.570
Kepler-1492,,4712.00,0.72,0.77,-0.754,4.62,2.820
Kepler-1493,,5863.00,1.29,1.06,0.249,4.24,6.460
Kepler-1494,,5659.00,0.94,0.96,0.079,4.48,4.370
Kepler-1495,,5831.00,1.04,1.03,0.052,4.42,4.170
Kepler-1496,,6182.00,1.27,1.18,0.304,4.29,2.950
Kepler-1497,,5675.00,0.95,0.96,-0.073,4.47,4.270
Kepler-1498,,5256.00,0.81,0.86,-0.166,4.56,4.170
Kepler-1499,,5097.00,0.78,0.82,-0.464,4.58,4.680
Kepler-15,,5515.00,0.99,1.02,-0.087,4.46,3.700
Kepler-1500,,5845.00,1.00,1.00,0.275,4.44,4.070
Kepler-1501,,6229.00,1.30,1.20,0.202,4.28,2.750
Kepler-1502,,6666.00,1.72,1.44,0.742,4.13,1.700
Kepler-1503,,5069.00,0.74,0.77,-0.144,4.59,5.130
Kepler-1504,,5393.00,0.81,0.85,0.468,4.55,4.470
Kepler-1505,,5686.00,0.86,0.93,0.149,4.54,1.700
Kepler-1506,,5676.00,0.93,0.95,0.426,4.49,3.980
Kepler-1507,,5410.00,0.85,0.89,-0.324,4.53,4.570
Kepler-1508,,6158.00,1.22,1.14,0.537,4.32,2.690
Kepler-1509,,5780.00,0.99,1.00,0.399,4.45,3.980
Kepler-1510,,6200.00,1.28,1.19,0.377,4.29,2.750
Kepler-1511,,6064.00,1.29,1.17,0.838,4.28,3.310
Kepler-1512,,4372.00,0.67,0.73,-1.695,4.64,1.780
Kepler-1513,,5617.00,0.97,0.99,-0.170,4.46,3.980
Kepler-1515,,6511.00,1.41,1.30,0.566,4.26,1.820
Kepler-1516,,5904.00,1.07,1.04,0.446,4.40,4.070
Kepler-1517,,7010.00,1.95,1.58,0.879,4.06,1.380
Kepler-1518,,6846.00,1.88,1.54,0.691,4.08,1.480
Kepler-1519,,5644.00,0.91,0.94,0.326,4.50,3.980
Kepler-1520,,4677.00,0.71,0.76,-0.673,4.61,4.470
Kepler-1521,,5042.00,0.76,0.81,-0.569,4.59,4.470
Kepler-1522,,5706.00,0.93,0.96,0.092,4.49,3.890
Kepler-1523,,5708.00,0.96,0.97,-0.099,4.46,4.370
Kepler-1524,,6179.00,1.25,1.17,-0.006,4.31,2.880
Kepler-1525,,5748.00,1.04,1.07,-0.011,4.44,2.820
Kepler-1526,,4601.00,0.69,0.73,-0.707,4.62,4.680
Kepler-1527,,6224.00,1.32,1.21,0.482,4.27,2.820
Kepler-1528,,5857.00,1.03,1.03,-0.064,4.43,3.890
Kepler-1529,,5048.00,0.77,0.81,-0.520,4.58,4.790
Kepler-1531,,6260.00,1.27,1.16,0.304,4.29,2.820
Kepler-1532,,5559.00,0.88,0.91,-0.141,4.51,4.270
Kepler-1533,,6431.00,1.51,1.31,0.662,4.20,2.190
Kepler-1534,,5442.00,0.86,0.90,-0.233,4.52,4.570
Kepler-1535,,6021.00,1.11,1.08,0.165,4.38,3.470
Kepler-1536,,4434.00,0.67,0.71,-0.822,4.64,2.950
Kepler-1537,,5079.00,0.77,0.81,-0.423,4.58,5.010
Kepler-1538,,5837.00,1.03,1.03,-0.085,4.42,4.370
Kepler-1539,,5176.00,0.80,0.84,-0.426,4.57,4.790
Kepler-1540,,4540.00,0.69,0.74,-0.818,4.63,2.510
Kepler-1541,,5282.00,0.81,0.86,-0.336,4.56,4.470
Kepler-1543,,6561.00,1.65,1.39,0.487,4.14,1.910
Kepler-1544,,4886.00,0.74,0.81,-0.606,4.61,2.340
Kepler-1545,,5201.00,0.80,0.84,-0.277,4.57,4.470
Kepler-1546,,5623.00,0.93,0.95,-0.130,4.48,3.720
Kepler-1547,,6078.00,1.18,1.12,0.222,4.34,3.390
Kepler-1548,,5706.00,0.97,0.99,-0.307,4.46,4.370
Kepler-1549,,5324.00,0.84,0.88,-0.273,4.54,4.790
Kepler-1550,,5991.00,1.11,1.07,0.119,4.38,3.550
Kepler-1551,,6136.00,1.22,1.14,0.244,4.32,2.880
Kepler-1552,,5202.00,0.78,0.85,-0.201,4.58,3.310
Kepler-1553,,5288.00,0.81,0.85,-0.338,4.56,4.570
Kepler-1554,,5297.00,0.81,0.84,-0.393,4.56,4.680
Kepler-1555,,5866.00,1.06,1.04,0.389,4.40,4.370
Kepler-1556,,5608.00,0.95,0.97,-0.231,4.47,4.900
Kepler-1557,,6099.00,1.17,1.11,0.119,4.34,3.310
Kepler-1558,,5101.00,0.79,0.83,-0.480,4.57,4.900
Kepler-1559,,5316.00,0.82,0.86,-0.276,4.55,4.270
Kepler-1560,,5815.00,1.02,1.02,-0.034,4.43,4.170
Kepler-1561,,5957.00,1.11,1.07,-0.020,4.38,3.390
Kepler-1562,,5760.00,1.05,1.02,0.491,4.41,4.790
Kepler-1563,,5765.00,0.99,1.00,-0.010,4.45,4.070
Kepler-1564,,5528.00,0.90,0.93,-0.135,4.50,4.570
Kepler-1565,,4940.00,0.73,0.76,-0.564,4.60,5.620
Kepler-1566,,5254.00,0.81,0.84,-0.437,4.56,5.010
Kepler-1567,,5655.00,0.93,0.95,-0.122,4.49,4.170
Kepler-1568,,5956.00,1.19,1.09,0.258,4.32,4.570
Kepler-1569,,6319.00,1.40,1.25,0.335,4.24,2.450
Kepler-1570,,5550.00,0.89,0.92,0.414,4.50,4.170
Kepler-1571,,6297.00,1.39,1.23,0.194,4.24,2.340
Kepler-1572,,5618.00,0.95,0.97,0.373,4.47,4.790
Kepler-1573,,5808.00,1.00,1.01,0.169,4.44,4.070
Kepler-1574,,5892.00,1.08,1.06,0.156,4.40,3.800
Kepler-1575,,5667.00,0.92,0.95,-0.037,4.49,4.170
Kepler-1576,,5876.00,1.06,1.05,-0.063,4.40,4.070
Kepler-1577,,4862.00,0.74,0.78,-0.607,4.60,4.270
Kepler-1578,,5545.00,0.86,0.90,-0.165,4.53,4.270
Kepler-1579,,4584.00,0.70,0.75,-0.940,4.63,2.240
Kepler-1580,,6228.00,2.15,1.47,0.926,3.94,2.750
Kepler-1581,,6022.00,1.23,1.12,0.391,4.31,4.170
Kepler-1582,,3208.00,0.30,0.28,-2.389,4.93,7.760
Kepler-1583,,5645.00,0.91,0.94,-0.018,4.49,4.270
Kepler-1584,,6069.00,1.13,1.10,0.252,4.37,3.310
Kepler-1585,,5538.00,0.91,0.94,-0.434,4.50,4.370
Kepler-1586,,6681.00,1.75,1.45,0.183,4.12,1.700
Kepler-1587,,5933.00,1.22,1.08,0.326,4.30,5.010
Kepler-1588,,5817.00,0.99,0.96,0.320,4.43,5.500
Kepler-1589,,6166.00,1.25,1.18,0.329,4.32,2.750
Kepler-1590,,6053.00,1.16,1.11,0.063,4.35,3.390
Kepler-1591,,6082.00,1.16,1.10,0.434,4.35,3.240
Kepler-1592,,6213.00,1.28,1.18,0.507,4.29,2.690
Kepler-1593,,4995.00,0.77,0.81,-0.652,4.59,3.630
Kepler-1594,,5946.00,1.08,1.06,0.000,4.39,3.890
Kepler-1595,,5203.00,0.80,0.84,-0.363,4.56,4.680
Kepler-1596,,5706.00,0.92,0.95,0.431,4.49,3.890
Kepler-1597,,6377.00,1.39,1.25,0.434,4.24,2.400
Kepler-1598,,5940.00,1.09,1.07,-0.039,4.39,3.800
Kepler-1599,,5767.00,0.99,0.99,0.241,4.45,4.270
Kepler-16,,4450.00,0.65,0.69,-0.903,4.65,3.800
Kepler-1601,,5869.00,1.07,1.04,0.085,4.40,4.270
Kepler-1602,,6296.00,1.36,1.22,0.201,4.25,2.510
Kepler-1603,,6241.00,1.31,1.21,0.706,4.28,2.820
Kepler-1604,,4976.00,0.76,0.81,-0.527,4.59,4.170
Kepler-1605,,5280.00,0.82,0.86,0.429,4.55,4.680
Kepler-1606,,5422.00,0.86,0.90,-0.171,4.53,4.270
Kepler-1607,,6116.00,1.21,1.14,0.709,4.33,3.160
Kepler-1608,,4992.00,0.72,0.75,-0.537,4.61,5.130
Kepler-1609,,6132.00,1.27,1.18,0.484,4.29,3.020
Kepler-1610,,5383.00,0.87,0.91,-0.483,4.52,4.680
Kepler-1611,,5605.00,0.93,0.94,-0.113,4.49,5.010
Kepler-1612,,5643.00,0.94,0.96,-0.188,4.48,4.570
Kepler-1613,,6005.00,1.12,1.08,0.638,4.37,3.550
Kepler-1614,,5121.00,0.76,0.79,-0.271,4.58,5.500
Kepler-1615,,5865.00,1.05,1.04,0.389,4.42,3.890
Kepler-1616,,6266.00,1.34,1.21,0.638,4.26,2.750
Kepler-1617,,6167.00,1.22,1.15,0.341,4.32,3.020
Kepler-1618,,6620.00,1.65,1.41,0.690,4.15,1.780
Kepler-1619,,5852.00,1.00,1.00,0.326,4.44,4.270
Kepler-1620,,6157.00,1.23,1.15,0.293,4.31,3.020
Kepler-1621,,6158.00,1.24,1.15,0.478,4.31,2.690
Kepler-1622,,6436.00,1.50,1.31,0.373,4.20,2.190
Kepler-1623,,5772.00,1.00,1.00,-0.172,4.44,4.270
Kepler-1624,,3636.00,0.47,0.50,-1.323,4.78,4.470
Kepler-1625,,5677.00,0.94,0.96,0.437,4.48,4.370
Kepler-1626,,6826.00,1.85,1.51,0.611,4.08,1.550
Kepler-1627,,5445.00,0.84,0.87,-0.303,4.54,4.680
Kepler-1628,,3724.00,0.52,0.55,-1.330,4.74,5.130
Kepler-1629,,5776.00,1.01,1.01,-0.134,4.44,4.270
Kepler-1630,,4736.00,0.63,0.66,-0.646,4.66,5.010
