Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
55 Cnc,G8V,5172.00,0.94,0.91,-0.197,4.43,10.200
DMPP-1,F8 V,6196.00,1.26,1.21,0.320,4.41,2.010
GJ 3293,M2.5,3466.00,0.40,0.42,-1.658,4.78,
GJ 667 C,M1.5 V,3350.00,,0.33,-1.863,4.69,2.000
GJ 676 A,M0 V,4006.03,0.65,0.63,-1.043,4.61,
GJ 876,M2.5V,3271.00,0.30,0.32,-1.907,4.87,1.000
HD 10180,G1 V,5911.00,1.11,1.06,0.173,4.39,4.300
HD 108236,G3 V,5660.00,0.88,0.87,-0.150,4.49,6.700
HD 141399,K0,5600.00,1.39,1.07,0.201,4.28,
HD 158259,G0,5801.89,1.21,1.08,0.212,4.25,
HD 160691,G3 IV-V,5773.00,1.33,1.13,0.278,4.20,5.700
HD 164922,G9 V,5393.43,1.00,0.92,-0.140,4.40,9.580
HD 191939,G9 V,5348.00,0.94,0.81,-0.187,4.30,8.700
HD 20781,K0 V,5256.00,0.83,0.70,-0.310,4.37,
HD 20794,G8,5401.00,0.92,0.81,-0.163,4.46,5.760
HD 215152,K3 V,4935.00,0.73,0.77,-0.523,4.40,
HD 219134,K3 V,4913.00,0.77,0.79,-0.509,4.51,12.460
HD 23472,K4 V,4684.00,0.71,0.67,-0.625,4.53,
HD 34445,G0 V,5836.00,1.38,1.07,0.303,4.21,8.500
HD 40307,K2.5 V,4956.00,0.72,0.77,-0.639,4.47,4.500
HIP 41378,F6,6226.00,1.34,1.17,0.396,4.20,4.279
HR 8799,A5,7400.00,1.49,1.51,0.733,4.00,0.030
K2-133,M1.5 V,3655.00,0.46,0.46,-1.479,4.77,
K2-138,G8 V,5356.30,0.86,0.94,-0.287,4.54,2.800
K2-187,,5438.00,0.83,0.97,-0.210,4.60,
K2-266,,4285.00,0.70,0.69,-0.823,4.58,
K2-268,,5106.00,0.78,0.84,-0.471,4.58,
K2-285,K2 V,4975.00,0.79,0.83,-0.422,4.40,
K2-32,G9 V,5271.00,0.86,0.83,-0.488,4.49,7.900
K2-384,M4 V,3623.00,0.35,0.33,-1.870,4.87,
K2-72,,3360.47,0.33,0.27,-1.837,5.05,
Kepler-324,,5191.00,0.83,0.84,-0.308,4.53,0.800
KOI-94,,6182.00,1.52,1.28,0.479,4.18,3.160
Kepler-102,,4903.00,0.74,0.80,-0.584,4.61,1.410
Kepler-106,,5858.00,1.04,1.00,0.083,4.41,4.830
Kepler-107,,5854.00,1.45,1.24,0.364,4.21,4.290
Kepler-11,,5663.00,1.06,0.96,0.120,4.37,8.500
Kepler-122,,6102.00,0.95,1.03,0.270,4.35,3.890
Kepler-132,,6023.00,1.10,1.03,0.211,4.37,4.370
Kepler-1388,,4098.00,0.61,0.63,-1.107,4.67,4.470
Kepler-150,,5528.00,0.91,0.97,-0.161,4.51,4.570
Kepler-154,,5769.00,0.98,0.98,0.033,4.45,4.470
Kepler-1542,,5564.00,0.99,0.94,0.070,4.41,8.510
Kepler-167,K4,4884.00,0.75,0.78,-0.539,4.58,7.100
Kepler-169,,4997.00,0.76,0.84,-0.496,4.58,13.800
Kepler-172,,5526.00,1.08,1.00,-0.032,4.38,6.460
Kepler-176,,5295.00,0.83,0.87,-0.404,4.55,4.680
Kepler-186,M1,3755.00,0.52,0.54,-1.260,4.74,4.000
Kepler-197,,6004.00,1.12,0.86,0.222,4.30,5.370
Kepler-20,,5495.00,0.96,0.95,-0.189,4.45,7.600
Kepler-208,,6092.00,1.31,1.16,0.309,4.26,4.370
Kepler-215,,5739.00,1.03,0.94,-0.117,4.36,1.620
Kepler-220,,4632.00,0.67,0.65,-0.676,4.65,6.000
Kepler-221,,5243.00,0.82,0.82,-0.404,4.54,4.570
Kepler-223,,5803.00,1.72,1.12,0.371,4.46,7.200
Kepler-224,,5018.00,0.68,0.82,-0.514,4.64,2.290
Kepler-235,M0 V,4255.00,0.55,0.58,-1.102,4.73,6.000
Kepler-238,,5732.00,0.96,1.06,0.430,4.49,6.760
Kepler-24,,5897.00,1.29,0.98,0.142,4.20,5.200
Kepler-245,,5174.00,0.80,0.86,-0.396,4.57,3.630
Kepler-251,,5526.00,0.89,0.95,-0.172,4.49,3.630
Kepler-256,,5551.00,1.30,0.97,-0.059,4.22,9.550
Kepler-26,M0 V,4486.00,0.57,0.62,-1.060,4.73,2.950
Kepler-265,,5835.00,1.10,0.98,0.005,4.33,0.280
Kepler-282,,5699.00,0.89,0.97,0.106,4.53,0.400
Kepler-286,,5580.00,0.86,0.96,-0.116,4.50,2.750
Kepler-292,,5299.00,0.83,0.85,-0.337,4.54,5.130
Kepler-296,M2 V,3740.00,0.48,0.50,-1.569,4.77,4.200
Kepler-299,,5617.00,1.03,0.95,-0.044,4.39,0.400
Kepler-304,,4817.00,0.73,0.80,-0.662,4.61,2.090
Kepler-305,,4974.00,0.83,0.82,-0.423,4.52,4.370
Kepler-306,,4954.00,0.72,0.81,-0.469,4.61,2.630
Kepler-32,M1 V,3900.00,0.53,0.58,-1.292,4.64,2.690
Kepler-33,,5904.00,1.82,1.29,0.556,4.03,4.270
Kepler-338,,5999.00,1.74,1.14,0.586,4.02,4.790
Kepler-341,,6012.00,1.02,1.00,0.127,4.44,3.600
Kepler-342,,6366.00,1.34,1.26,0.453,4.28,2.040
Kepler-37,,5288.00,0.77,0.80,-0.322,4.61,10.000
Kepler-402,,6090.00,1.26,1.15,0.203,4.28,1.400
Kepler-411,K2 V,4832.69,0.82,0.87,-0.584,4.60,0.212
Kepler-444,K,5046.00,0.75,0.76,-0.425,4.56,11.230
Kepler-48,,5194.00,0.89,0.88,-0.345,4.49,3.140
Kepler-49,M1 V,4252.00,0.56,0.55,-1.131,4.73,2.880
Kepler-55,,4503.00,0.62,0.63,-0.763,4.68,2.340
Kepler-62,K2 V,4925.00,0.64,0.69,-0.678,4.68,7.000
Kepler-65,,6220.00,1.44,1.25,0.451,4.23,3.310
Kepler-758,,6228.00,1.42,1.16,0.563,4.19,3.800
Kepler-79,,6174.00,1.30,1.17,0.342,4.27,3.440
Kepler-80,K5,4540.00,0.68,0.83,-0.767,4.64,2.000
Kepler-82,,5529.00,0.90,0.91,-0.225,4.49,4.680
Kepler-84,,6031.00,1.17,1.06,0.212,4.32,3.980
Kepler-85,,5436.00,0.89,0.92,-0.212,4.49,4.370
L 98-59,M3 V,3415.00,0.30,0.27,-1.948,4.86,0.800
TOI-1246,K V,5151.00,0.86,0.87,-0.316,4.40,
TOI-178,K,4316.00,0.65,0.65,-0.879,4.45,7.100
TOI-500,K6 V,4440.00,0.68,0.74,-0.700,4.62,5.000
TOI-561,G9 V,5326.00,0.83,0.81,-0.282,4.50,10.000
TRAPPIST-1,,2566.00,0.12,0.09,-3.257,5.24,0.500
V1298 Tau,K0,4962.28,1.34,1.10,-0.038,4.25,0.023
WASP-47,,5552.00,1.14,1.04,0.032,4.34,6.500
tau Cet,G8.5V,5310.00,0.83,0.78,-0.305,4.52,12.120
